player,return_points_won_percent,winners_percent,unforced_percent,aces_and_unret_percentage,net_frequency,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct
Abedallah Shelbayh,-0.29962189947845413,0.6863567022585221,0.1294274939807639,0.023843836965452298,0.03365484431065663,0.8114283785432225,0.9448375717279343,0.954660655090992,-1.0455470572716854,-0.0873384099154491
Adam Pavlasek,0.4139665001834772,-0.017264816847203057,1.073919701271,0.7019253987772335,-0.23598476140369323,0.23897095508813143,-1.3209790288099534,-0.1414688985219977,1.3478696144533386,-0.7425021881797219
Adam Walton,0.2867818376446224,-1.4932423076621753,-1.5046357229038954,-1.2423489444986788,-0.23614428043202088,0.08799316913805802,-0.8293181437001683,-0.6588954658228163,0.8598518930872057,-0.7816257616931607
Adrian Andreev,0.8735218732921716,-0.22206857684415493,-0.434789735156599,-0.679539178880696,-0.2509418412838029,0.09871073126197093,-0.5563041002477361,0.2589158350093536,0.5738640335755659,-0.9123394181825013
Adrian Garcia,-1.12478533136739,0.2703101899867802,0.4199555062817376,0.07228283520639939,-0.412831011637575,-0.78012908336351,1.1072569318018783,1.165823049293083,-1.0623733321102862,0.9477169037112326
Adrian Mannarino,0.17869037785911213,-0.3314531856051531,-0.11667678463807891,0.017732138542974545,-0.3204922101515679,-0.22781639421958289,0.3274441398124558,-0.8880097892961619,-0.2998773867933599,-0.2510676203199487
Adrian Voinea,0.1312642404209584,-1.2970504889714904,-0.40864685441488596,0.30294473159186686,-0.2932812443630336,-4.252618087292927,0.47708440342983693,-0.6588954658228163,-0.4368703265275106,-0.7762964287626443
Adrien Bossel,-1.5209012010519423,-1.9242818229502128,0.9544454733402677,-1.005340711969454,-0.43282268536707347,-2.2269995021738382,0.35939593272940346,-1.0278276246167413,-0.3200539170027533,-1.0220727239111693
Agustin Calleri,-0.011711615091119496,1.2289191766710805,2.1328958124752035,-0.5692455641156803,0.5007799498142607,-0.13603837695419074,-2.271150714744703,1.4116875852664676,2.29100061209809,-0.14440860821103516
Agustin Velotti,2.7693993808373656,-1.0187341067265634,-1.1469610403572548,0.18665269216419275,-0.6275837074774876,-0.201380910977894,-0.9602417972100947,-1.1165540147068809,0.989805413885543,-0.5987230555178349
Aisam Ul Haq Qureshi,-0.5465472227474107,1.7883444543668034,-0.817558422107597,2.260733586850297,2.3570209021197384,-0.2955957291730544,-1.0110276148385542,0.37979045816623425,1.0402149130899032,2.9530708310203457
Akira Santillan,3.001571981267204,0.5120059956205324,0.7690929328122199,0.5936748301610498,-0.2747858116206862,0.8114283785432225,-0.7267472392378281,0.34559503680033987,0.758041029969639,0.030855267804671092
Alan Mackin,-0.8768367069184382,-2.1242686250883573,-0.03548384380007139,-1.4414358598232275,-0.8219948174654158,1.8242376741411948,-1.0897726458954466,-1.1017460535700858,1.1183764504200673,-0.6226862442948161
Albano Olivetti,-2.0523670073998685,0.8098234577098318,-0.03548384380007139,2.1617109355587716,6.086045450276959,-0.3205349446817395,-1.1379921589097026,4.5345341541224355,0.41639736043594605,1.8825562187532177
