,player,forehand_side_shot_usage_pct,forehand_side_winner_pct,forehand_side_induced_forced_pct,forehand_side_unforced_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct,backhand_side_induced_forced_pct,backhand_side_unforced_pct,forehand_groundstroke_shot_usage_pct,forehand_groundstroke_winner_pct,forehand_groundstroke_induced_forced_pct,forehand_groundstroke_unforced_pct,backhand_groundstroke_shot_usage_pct,backhand_groundstroke_winner_pct,backhand_groundstroke_induced_forced_pct,backhand_groundstroke_unforced_pct,forehand_slice_shot_usage_pct,forehand_slice_winner_pct,forehand_slice_induced_forced_pct,forehand_slice_unforced_pct,backhand_slice_shot_usage_pct,backhand_slice_winner_pct,backhand_slice_induced_forced_pct,backhand_slice_unforced_pct,forehand_volley_shot_usage_pct,forehand_volley_winner_pct,forehand_volley_induced_forced_pct,forehand_volley_unforced_pct,backhand_volley_shot_usage_pct,backhand_volley_winner_pct,backhand_volley_induced_forced_pct,backhand_volley_unforced_pct,overhead_smash_shot_usage_pct,overhead_smash_winner_pct,overhead_smash_induced_forced_pct,overhead_smash_unforced_pct,backhand_overhead_smash_shot_usage_pct,backhand_overhead_smash_winner_pct,backhand_overhead_smash_induced_forced_pct,backhand_overhead_smash_unforced_pct,forehand_drop_shot_shot_usage_pct,forehand_drop_shot_winner_pct,forehand_drop_shot_induced_forced_pct,forehand_drop_shot_unforced_pct,backhand_drop_shot_shot_usage_pct,backhand_drop_shot_winner_pct,backhand_drop_shot_induced_forced_pct,backhand_drop_shot_unforced_pct,forehand_lob_shot_usage_pct,forehand_lob_winner_pct,forehand_lob_induced_forced_pct,forehand_lob_unforced_pct,backhand_lob_shot_usage_pct,backhand_lob_winner_pct,backhand_lob_induced_forced_pct,backhand_lob_unforced_pct,forehand_half_volley_shot_usage_pct,forehand_half_volley_winner_pct,forehand_half_volley_induced_forced_pct,forehand_half_volley_unforced_pct,backhand_half_volley_shot_usage_pct,backhand_half_volley_winner_pct,backhand_half_volley_induced_forced_pct,backhand_half_volley_unforced_pct,forehand_swinging_volley_shot_usage_pct,forehand_swinging_volley_winner_pct,forehand_swinging_volley_induced_forced_pct,forehand_swinging_volley_unforced_pct,backhand_swinging_volley_shot_usage_pct,backhand_swinging_volley_winner_pct,backhand_swinging_volley_induced_forced_pct,backhand_swinging_volley_unforced_pct
0,Abedallah Shelbayh,57.98687089715536,12.075471698113208,1.8867924528301887,13.584905660377359,41.13785557986871,4.25531914893617,5.851063829787234,10.638297872340425,49.23413566739606,7.555555555555555,2.2222222222222223,13.777777777777779,30.63457330415755,2.142857142857143,5.714285714285714,12.142857142857142,2.62582056892779,8.333333333333332,0.0,0.0,5.908096280087528,3.7037037037037033,3.7037037037037033,7.4074074074074066,0.87527352297593,75.0,0.0,25.0,2.1881838074398248,20.0,10.0,0.0,1.312910284463895,100.0,0.0,0.0,0.2188183807439825,100.0,0.0,0.0,2.8446389496717726,23.076923076923077,0.0,30.76923076923077,1.5317286652078774,14.285714285714285,0.0,14.285714285714285,0.6564551422319475,33.33333333333333,0.0,0.0,0.437636761487965,0.0,0.0,0.0,,,,,0.2188183807439825,0.0,100.0,0.0,0.437636761487965,50.0,0.0,0.0,,,,
1,Adam Pavlasek,44.35351882160393,8.118081180811808,5.904059040590406,14.391143911439114,55.646481178396066,2.6470588235294117,3.5294117647058822,13.823529411764707,38.62520458265139,6.779661016949152,5.508474576271186,15.677966101694915,42.716857610474634,1.532567049808429,3.065134099616858,14.942528735632186,2.9459901800327333,0.0,0.0,5.555555555555555,9.983633387888707,1.639344262295082,1.639344262295082,9.836065573770492,1.309328968903437,62.5,12.5,0.0,1.309328968903437,25.0,37.5,12.5,0.8183306055646482,20.0,0.0,20.0,0.16366612111292964,0.0,0.0,0.0,0.32733224222585927,0.0,50.0,0.0,0.9819967266775778,33.33333333333333,0.0,16.666666666666664,0.16366612111292964,0.0,0.0,0.0,0.4909983633387889,0.0,0.0,0.0,,,,,,,,,0.16366612111292964,0.0,100.0,0.0,,,,
2,Adam Walton,47.31182795698925,6.25,7.386363636363637,7.386363636363637,52.68817204301075,2.5510204081632653,4.081632653061225,5.1020408163265305,41.935483870967744,3.8461538461538463,8.333333333333332,7.051282051282051,44.623655913978496,0.6024096385542169,4.216867469879518,6.024096385542169,2.1505376344086025,0.0,0.0,0.0,5.10752688172043,5.263157894736842,0.0,0.0,1.6129032258064515,50.0,0.0,33.33333333333333,0.8064516129032258,33.33333333333333,0.0,0.0,0.8064516129032258,66.66666666666666,0.0,0.0,0.2688172043010753,100.0,0.0,0.0,,,,,,,,,0.8064516129032258,0.0,0.0,0.0,1.6129032258064515,16.666666666666664,0.0,0.0,,,,,0.2688172043010753,0.0,100.0,0.0,,,,,,,,
3,Adrian Andreev,48.95454545454545,9.563602599814299,7.242339832869081,8.72794800371402,50.95454545454545,2.230151650312221,3.300624442462088,6.779661016949152,43.54545454545454,7.411273486430063,6.993736951983298,9.08141962421712,41.0,2.549889135254989,2.9933481152993346,7.206208425720622,1.8181818181818181,5.0,0.0,2.5,7.727272727272727,0.0,1.7647058823529411,4.117647058823529,0.8181818181818182,44.44444444444444,11.11111111111111,5.555555555555555,0.3181818181818182,0.0,28.57142857142857,28.57142857142857,1.8636363636363635,41.46341463414634,14.634146341463413,12.195121951219512,,,,,0.18181818181818182,50.0,25.0,0.0,1.2727272727272727,7.142857142857142,14.285714285714285,3.571428571428571,0.27272727272727276,0.0,33.33333333333333,0.0,0.4090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.4090909090909091,33.33333333333333,0.0,0.0,0.13636363636363638,0.0,33.33333333333333,33.33333333333333
4,Adrian Garcia,58.964143426294825,12.837837837837837,7.4324324324324325,18.243243243243242,41.03585657370518,6.796116504854369,6.796116504854369,10.679611650485436,55.77689243027888,10.0,7.857142857142857,18.571428571428573,36.65338645418327,4.3478260869565215,5.434782608695652,11.956521739130435,,,,,2.3904382470119523,0.0,16.666666666666664,0.0,1.1952191235059761,33.33333333333333,0.0,33.33333333333333,0.796812749003984,50.0,50.0,0.0,,,,,,,,,1.1952191235059761,100.0,0.0,0.0,1.1952191235059761,66.66666666666666,0.0,0.0,,,,,,,,,0.398406374501992,0.0,0.0,0.0,,,,,0.398406374501992,100.0,0.0,0.0,,,,
5,Adrian Mannarino,54.27203271279457,5.422821453355804,4.441360166551006,9.348666600574997,45.65802216722264,3.853405609238746,4.371906669809097,7.918925288710818,49.951576455396534,3.6514433433864713,4.243860404997846,9.295562257647566,40.08393414397934,2.926174496644295,4.25503355704698,8.04026845637584,1.4042827935004842,2.2988505747126435,1.532567049808429,5.747126436781609,3.46497363607016,0.7763975155279503,2.7950310559006213,5.900621118012422,0.9469493166899817,41.47727272727273,7.954545454545454,17.613636363636363,0.9092865597761756,39.64497041420118,11.834319526627219,12.42603550295858,0.8931453782416874,54.81927710843374,6.626506024096386,7.228915662650602,0.04842354460346497,22.22222222222222,22.22222222222222,0.0,0.511137415258797,23.157894736842106,12.631578947368421,15.789473684210526,0.4035295383622082,25.333333333333336,6.666666666666667,12.0,0.2205961476380071,12.195121951219512,2.4390243902439024,0.0,0.5918433229312385,6.363636363636363,4.545454545454546,2.727272727272727,0.2851608737759604,15.09433962264151,16.9811320754717,5.660377358490567,0.11298827074141828,23.809523809523807,14.285714285714285,4.761904761904762,0.05918433229312386,27.27272727272727,27.27272727272727,36.36363636363637,0.04304315075863553,50.0,12.5,12.5
6,Adrian Voinea,55.172413793103445,6.25,6.25,20.833333333333336,44.827586206896555,2.564102564102564,5.128205128205128,7.6923076923076925,51.724137931034484,6.666666666666667,6.666666666666667,22.22222222222222,13.793103448275861,0.0,16.666666666666664,0.0,1.1494252873563218,0.0,0.0,0.0,29.88505747126437,3.8461538461538463,0.0,11.538461538461538,2.2988505747126435,0.0,0.0,0.0,1.1494252873563218,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adrien Bossel,54.46428571428571,4.918032786885246,3.278688524590164,13.114754098360656,45.535714285714285,1.9607843137254901,11.76470588235294,19.607843137254903,50.0,5.357142857142857,3.571428571428571,12.5,36.607142857142854,2.4390243902439024,12.195121951219512,17.073170731707318,3.571428571428571,0.0,0.0,0.0,2.6785714285714284,0.0,0.0,0.0,,,,,1.7857142857142856,0.0,50.0,50.0,,,,,,,,,0.8928571428571428,0.0,0.0,100.0,2.6785714285714284,0.0,0.0,66.66666666666666,,,,,0.8928571428571428,0.0,0.0,0.0,,,,,,,,,,,,,0.8928571428571428,0.0,0.0,0.0
8,Agustin Calleri,38.63636363636363,13.725490196078432,5.88235294117647,13.725490196078432,61.36363636363637,4.11522633744856,5.349794238683128,11.11111111111111,33.33333333333333,8.333333333333332,5.303030303030303,14.393939393939394,51.76767676767676,3.414634146341464,3.902439024390244,11.707317073170733,,,,,5.05050505050505,0.0,0.0,0.0,2.525252525252525,50.0,10.0,0.0,2.7777777777777777,27.27272727272727,18.181818181818183,9.090909090909092,1.0101010101010102,75.0,0.0,25.0,0.25252525252525254,0.0,100.0,0.0,0.5050505050505051,0.0,50.0,0.0,0.7575757575757576,0.0,33.33333333333333,66.66666666666666,0.5050505050505051,0.0,0.0,0.0,0.25252525252525254,0.0,0.0,0.0,,,,,0.5050505050505051,0.0,50.0,0.0,0.7575757575757576,66.66666666666666,0.0,33.33333333333333,,,,
9,Agustin Velotti,46.524064171122994,4.597701149425287,6.896551724137931,6.896551724137931,53.475935828877006,3.0,1.0,3.0,35.82887700534759,4.477611940298507,8.955223880597014,8.955223880597014,37.967914438502675,2.8169014084507045,1.4084507042253522,2.8169014084507045,9.62566844919786,0.0,0.0,0.0,14.43850267379679,0.0,0.0,3.7037037037037033,0.53475935828877,100.0,0.0,0.0,0.53475935828877,100.0,0.0,0.0,0.53475935828877,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.53475935828877,0.0,0.0,0.0,,,,,,,,,,,,,,,,
10,Aisam Ul Haq Qureshi,46.21848739495798,10.0,4.545454545454546,11.818181818181818,53.78151260504202,11.71875,3.125,12.5,37.81512605042017,3.3333333333333335,3.3333333333333335,12.222222222222221,18.067226890756302,13.953488372093023,0.0,11.627906976744185,0.8403361344537815,0.0,0.0,0.0,24.789915966386555,3.389830508474576,3.389830508474576,10.16949152542373,4.621848739495799,36.36363636363637,18.181818181818183,9.090909090909092,7.9831932773109235,21.052631578947366,10.526315789473683,26.31578947368421,2.100840336134454,80.0,0.0,20.0,0.42016806722689076,100.0,0.0,0.0,,,,,,,,,0.42016806722689076,0.0,0.0,0.0,,,,,0.42016806722689076,0.0,0.0,0.0,2.5210084033613445,33.33333333333333,0.0,0.0,,,,,,,,
11,Akira Santillan,47.928994082840234,9.876543209876543,4.938271604938271,13.580246913580247,52.071005917159766,4.545454545454546,0.0,9.090909090909092,42.60355029585799,6.944444444444445,5.555555555555555,12.5,21.893491124260358,8.108108108108109,0.0,10.81081081081081,1.183431952662722,0.0,0.0,0.0,27.810650887573964,0.0,0.0,6.382978723404255,1.183431952662722,0.0,0.0,50.0,0.591715976331361,100.0,0.0,0.0,1.7751479289940828,100.0,0.0,0.0,,,,,1.183431952662722,0.0,0.0,50.0,1.183431952662722,0.0,0.0,50.0,,,,,0.591715976331361,0.0,0.0,0.0,,,,,,,,,,,,,,,,
12,Alan Mackin,45.744680851063826,4.651162790697675,3.488372093023256,10.465116279069768,54.25531914893617,2.941176470588235,3.9215686274509802,10.784313725490197,44.148936170212764,3.614457831325301,3.614457831325301,10.843373493975903,48.93617021276596,3.260869565217391,4.3478260869565215,11.956521739130435,1.0638297872340425,0.0,0.0,0.0,5.319148936170213,0.0,0.0,0.0,0.5319148936170213,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Albano Olivetti,45.45454545454545,25.0,15.0,25.0,50.0,9.090909090909092,9.090909090909092,13.636363636363635,22.727272727272727,20.0,10.0,20.0,11.363636363636363,20.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,18.181818181818183,12.5,0.0,0.0,18.181818181818183,37.5,25.0,37.5,13.636363636363635,0.0,16.666666666666664,33.33333333333333,2.272727272727273,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.272727272727273,0.0,0.0,0.0,,,,,2.272727272727273,0.0,0.0,100.0,,,,,2.272727272727273,0.0,100.0,0.0
14,Albert Costa,54.3562066306862,8.51063829787234,4.539007092198582,7.5177304964539005,45.6437933693138,4.391891891891892,2.871621621621622,9.45945945945946,50.65535851966075,6.69710806697108,4.71841704718417,7.76255707762557,36.08326908249807,2.9914529914529915,2.564102564102564,10.47008547008547,1.233616037008481,12.5,0.0,0.0,6.6306861989205865,2.3255813953488373,0.0,2.3255813953488373,0.2313030069390902,66.66666666666666,0.0,33.33333333333333,0.3855050115651504,60.0,20.0,0.0,0.7710100231303008,90.0,0.0,0.0,0.07710100231303006,0.0,100.0,0.0,0.8481110254433308,27.27272727272727,9.090909090909092,9.090909090909092,1.6962220508866617,31.818181818181817,13.636363636363635,22.727272727272727,0.3855050115651504,0.0,0.0,0.0,0.6168080185042405,0.0,0.0,0.0,0.15420200462606012,0.0,0.0,0.0,0.15420200462606012,0.0,0.0,0.0,0.07710100231303006,0.0,0.0,0.0,,,,
15,Albert Montanes,61.8657937806874,6.613756613756613,3.439153439153439,10.052910052910052,37.80687397708674,3.896103896103896,1.2987012987012987,8.225108225108226,56.79214402618658,5.187319884726225,3.45821325648415,10.951008645533141,22.913256955810148,3.571428571428571,2.142857142857143,6.428571428571428,3.109656301145663,0.0,0.0,0.0,13.911620294599016,2.3529411764705883,0.0,10.588235294117647,0.4909983633387889,66.66666666666666,0.0,0.0,0.32733224222585927,50.0,0.0,0.0,0.16366612111292964,100.0,0.0,0.0,,,,,0.9819967266775778,66.66666666666666,16.666666666666664,0.0,0.6546644844517185,25.0,0.0,25.0,0.32733224222585927,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
16,Albert Ramos,55.58185895838525,6.859448554135844,4.886796682358216,8.271687962340282,44.41814104161475,2.41234221598878,2.608695652173913,7.994389901823282,52.00598056316969,5.462386200287494,4.863440344992813,8.481073310972688,36.53127336157488,1.534788540245566,2.557980900409277,8.628922237380628,1.3830052329927736,2.7027027027027026,0.0,0.9009009009009009,6.591078993271866,1.5122873345935728,2.2684310018903595,4.3478260869565215,0.3862447047096935,54.83870967741935,6.451612903225806,9.67741935483871,0.5482182905556939,52.27272727272727,2.272727272727273,9.090909090909092,0.5855968103663095,59.57446808510638,10.638297872340425,4.25531914893617,0.0373785198106155,33.33333333333333,0.0,0.0,0.7351108896087715,35.59322033898305,8.47457627118644,15.254237288135593,0.2118116122601545,29.411764705882355,11.76470588235294,23.52941176470588,0.3364066782955395,11.11111111111111,7.4074074074074066,0.0,0.448542237727386,5.555555555555555,5.555555555555555,0.0,0.0373785198106155,0.0,0.0,0.0,0.0373785198106155,33.33333333333333,33.33333333333333,33.33333333333333,0.1121355594318465,66.66666666666666,11.11111111111111,0.0,0.0124595066035385,100.0,0.0,0.0
17,Alberto Martin,56.03715170278638,9.392265193370166,2.209944751381215,7.18232044198895,43.653250773993804,4.964539007092199,4.25531914893617,7.092198581560284,49.22600619195047,5.031446540880504,2.515723270440252,7.547169811320755,26.93498452012384,2.2988505747126435,4.597701149425287,8.045977011494253,2.1671826625387,0.0,0.0,0.0,12.38390092879257,2.5,2.5,5.0,1.238390092879257,100.0,0.0,0.0,0.9287925696594427,33.33333333333333,33.33333333333333,33.33333333333333,0.30959752321981426,100.0,0.0,0.0,,,,,2.1671826625387,42.857142857142854,0.0,14.285714285714285,2.476780185758514,37.5,0.0,0.0,0.30959752321981426,0.0,0.0,0.0,0.9287925696594427,0.0,0.0,0.0,,,,,,,,,0.6191950464396285,50.0,0.0,0.0,,,,
18,Alejandro Davidovich Fokina,49.71443239427582,9.423002452562281,5.447269910933264,12.559700529237125,50.15080536482064,5.284708893154191,4.00511836212412,10.019193857965451,41.943143168837835,7.114443084455324,5.523255813953488,13.693390452876377,41.61586344092922,4.286815728604472,4.1788743253662295,10.547417116422514,3.343387024321376,0.5758157389635317,1.5355086372360844,3.262955854126679,5.660014117949047,1.3605442176870748,1.7006802721088436,6.802721088435375,0.7123147019187576,61.261261261261254,2.7027027027027026,12.612612612612612,1.1166014246294038,46.55172413793103,6.896551724137931,9.770114942528735,0.9690046845921838,58.27814569536424,11.258278145695364,7.9470198675496695,0.07700699480202786,41.66666666666667,25.0,16.666666666666664,2.0856061092215876,27.076923076923077,8.615384615384615,10.153846153846153,0.7315664506192645,14.035087719298245,5.263157894736842,13.157894736842104,0.5262144644805237,14.634146341463413,4.878048780487805,1.2195121951219512,0.8278251941217994,13.178294573643413,3.10077519379845,1.550387596899225,0.09625874350253481,20.0,6.666666666666667,6.666666666666667,0.10267599306937047,18.75,12.5,12.5,0.03850349740101393,50.0,0.0,0.0,0.019251748700506964,33.33333333333333,0.0,33.33333333333333
19,Alejandro Falla,48.393574297188756,8.437067773167358,4.702627939142462,11.756569847856154,51.606425702811244,4.669260700389105,5.447470817120623,9.208819714656292,43.373493975903614,5.864197530864197,4.62962962962963,11.882716049382717,41.298527443105755,4.376012965964344,5.186385737439222,9.40032414910859,1.3386880856760375,10.0,0.0,5.0,6.827309236947792,1.9607843137254901,1.9607843137254901,7.8431372549019605,1.7402945113788488,38.46153846153847,11.538461538461538,15.384615384615385,1.0040160642570282,13.333333333333334,26.666666666666668,20.0,1.0040160642570282,53.333333333333336,6.666666666666667,6.666666666666667,0.2008032128514056,33.33333333333333,0.0,0.0,0.2677376171352075,50.0,0.0,0.0,0.33467202141900937,0.0,0.0,40.0,0.4016064257028112,0.0,0.0,16.666666666666664,1.2717536813922357,10.526315789473683,10.526315789473683,0.0,0.13386880856760375,0.0,0.0,0.0,0.4685408299866131,0.0,14.285714285714285,0.0,0.13386880856760375,50.0,0.0,50.0,0.2008032128514056,66.66666666666666,33.33333333333333,0.0
20,Alejandro Gonzalez,45.68627450980392,5.579399141630901,6.437768240343347,12.446351931330472,54.31372549019608,3.2490974729241873,1.444043321299639,9.747292418772563,42.745098039215684,3.211009174311927,6.422018348623854,13.302752293577983,48.627450980392155,2.82258064516129,1.6129032258064515,10.080645161290322,0.9803921568627451,0.0,0.0,0.0,4.117647058823529,0.0,0.0,9.523809523809524,0.19607843137254902,100.0,0.0,0.0,0.9803921568627451,40.0,0.0,0.0,0.5882352941176471,100.0,0.0,0.0,,,,,0.5882352941176471,33.33333333333333,33.33333333333333,0.0,,,,,0.19607843137254902,100.0,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0.39215686274509803,0.0,0.0,0.0,,,,,,,,,,,,
21,Alejandro Lopez Escribano,55.980861244019145,3.418803418803419,5.128205128205128,9.401709401709402,44.01913875598086,2.1739130434782608,2.1739130434782608,14.130434782608695,47.84688995215311,3.0,4.0,11.0,43.0622009569378,2.2222222222222223,2.2222222222222223,14.444444444444443,4.784688995215311,0.0,10.0,0.0,,,,,0.4784688995215311,100.0,0.0,0.0,,,,,,,,,,,,,1.4354066985645932,0.0,33.33333333333333,0.0,0.4784688995215311,0.0,0.0,0.0,1.4354066985645932,0.0,0.0,0.0,0.4784688995215311,0.0,0.0,0.0,,,,,,,,,,,,,,,,
