,player,Kmeans_cluster
232,Federico Agustin Gomez,1
233,Federico Arnaboldi,1
234,Federico Cina,1
235,Federico Coria,3
236,Federico Delbonis,3
237,Federico Gaio,1
238,Federico Luzzi,0
239,Feliciano Lopez,1
240,Felix Auger Aliassime,1
241,Felix Mantilla,0
242,Fernando Gonzalez,1
243,Fernando Romboli,0
244,Fernando Verdasco,1
245,Filip Bergevi,3
246,Filip Cristian Jianu,0
247,Filip Horansky,1
248,Filip Krajinovic,1
249,Filip Misolic,1
250,Filippo Volandri,3
251,Fitriadi M Rifqi,3
252,Flavio Cobolli,1
253,Flavio Saretta,0
254,Florent Serra,3
255,Florian Mayer,0
256,Frances Tiafoe,1
257,Francesco Maestrelli,1
258,Francesco Passaro,1
259,Francisco Cerundolo,1
260,Francisco Comesana,1
261,Francisco Llanes,3
262,Franco Skugor,0
263,Franco Squillari,0
264,Frank Dancevic,2
265,Gabriel Decamps,0
266,Gabriel Diallo,1
267,Gabriele Felline,3
268,Gael Monfils,1
269,Gastao Elias,1
270,Gaston Gaudio,3
271,Gavin Van Peperzeel,1
272,Genaro Alberto Olivieri,3
273,George Bastl,0
274,Gerald Melzer,1
275,Germain Gigounon,0
276,Gianluca Mager,0
277,Gianluigi Quinzi,0
278,Gijs Brouwer,3
279,Gilles Arnaud Bailly,0
280,Gilles Muller,2
281,Gilles Simon,0
282,Giorgio Galimberti,0
283,Giovanni Lapentti,3
284,Giovanni Mpetshi Perricard,2
285,Giulio Zeppieri,3
286,Goncalo Oliveira,1
287,Gonzalo Escobar,3
288,Gonzalo Lama,3
289,Goran Ivanisevic,2
290,Govind Nanda,0
291,Greg Rusedski,2
292,Grega Zemlja,2
293,Gregoire Barrere,0
294,Grigor Dimitrov,1
295,Guido Andreozzi,3
296,Guido Pella,3
297,Guillermo Canas,3
298,Guillermo Coria,0
299,Guillermo Garcia Lopez,1
300,Gustavo Kuerten,1
301,Guy Den Ouden,3
302,Hady Habib,1
303,Hamad Medjedovic,1
304,Harel Levy,0
305,Harold Mayot,0
306,Henri Laaksonen,3
307,Henrique Rocha,3
308,Hernan Casanova,3
309,Hiroki Moriya,3
310,Ho Gi Kang,3
311,Holger Rune,1
312,Horacio Zeballos,1
313,Hubert Hurkacz,1
314,Hugo Dellien,3
315,Hugo Gaston,3
316,Hugo Grenier,1
317,Hunter Reese,0
318,Hyeon Chung,0
319,Hyung Taik Lee,3
320,Ignacio Buse,3
321,Igor Andreev,3
322,Igor Sijsling,2
323,Illya Marchenko,3
324,Ilya Ivashka,3
325,Inaki Montes De La Torre,3
326,Inigo Cervantes Huegun,1
327,Irakli Labadze,0
328,Ivan Dodig,1
329,Ivan Gakhov,1
330,Ivan Ljubicic,1
331,Ivo Heuberger,0
332,Ivo Karlovic,2
333,Ivo Minar,0
334,Izak Van Der Merwe,0
335,J J Wolf,1
336,Jack Brasington,3
337,Jack Draper,1
338,Jack Sock,1
339,Jacob Fearnley,1
340,Jaime Faria,1
341,Jakub Mensik,1
342,James Blake,1
343,James Duckworth,1
344,James Mccabe,0
345,James Trotter,3
346,James Ward,1
347,Jan Choinski,0
348,Jan Hernych,0
349,Jan Kroslak,0
350,Jan Kumstat,0
351,Jan Lennard Struff,2
352,Jan Michael Gambill,0
353,Janko Tipsarevic,0
354,Jannik Sinner,1
355,Jared Donaldson,1
356,Jarkko Nieminen,0
357,Jarmere Jenkins,3
358,Jason Jung,0
359,Jason Kubler,0
360,Jaume Munar,0
361,Javier Barranco Cosano,3
362,Jay Clarke,0
363,Jean Rene Lisnard,3
364,Jean Yves Aubone,3
365,Jelle Sels,3
366,Jenson Brooksby,0
367,Jeremy Chardy,3
368,Jeremy Jahn,3
369,Jerome Kym,1
370,Jerzy Janowicz,1
371,Jesper De Jong,1
372,Jimmy Wang,0
373,Jiri Lehecka,1
374,Jiri Novak,0
375,Jiri Vanek,0
376,Jiri Vesely,1
377,Jo Wilfred Tsonga,1
378,Jo Wilfried Tsonga,1
379,Joachim Johansson,1
380,Joao Fonseca,1
381,Joao Menezes,0
382,Joao Sousa,3
383,Joao Souza,3
384,Johan Sebastien Tatlot,0
385,Johannes Haerteis,2
386,John Isner,2
387,John Millman,0
388,Jonas Bjorkman,1
389,Jordan Thompson,1
390,Joris De Loore,3
391,Jose Acasuso,1
392,Jose Hernandez,1
393,Jose Rubin Statham,0
394,Joshua Sheehy,1
395,Jozef Kovalik,1
396,Juan Carlos Ferrero,0
397,Juan Carlos Prado Angelo,3
398,Juan Carlos Saez,3
399,Juan Ignacio Chela,3
400,Juan Ignacio Londero,3
401,Juan Manuel Cerundolo,3
402,Juan Martin Del Potro,1
403,Juan Monaco,0
404,Juan Pablo Varillas,3
405,Julian Reister,3
406,Julien Benneteau,1
407,Julien Boutter,1
408,Juncheng Shang,3
409,Jurgen Melzer,0
410,Jurgen Zopp,0
411,Jurij Rodionov,1
412,Kamil Majchrzak,0
413,Karen Khachanov,1
414,Karim Mohamed Maamoun,0
415,Karlis Ozolins,1
416,Karol Beck,0
417,Karue Sell,3
418,Kasidit Samrej,3
419,Kaylan Bigun,3
420,Kei Nishikori,1
421,Kevin Anderson,1
422,Kevin King,1
423,Kevin Krawietz,2
424,Kilian Feldbausch,1
425,Kimmer Coppejans,3
426,Kiranpal Pannu,0
427,Konstantin Kravchuk,0
428,Kris Van Wyk,1
429,Kristian Pless,1
430,Kristof Vliegen,1
431,Kyle Edmund,1
432,Kyrian Jacquet,1
433,Laslo Djere,1
434,Laurent Lokoli,1
435,Laurynas Grigelis,1
436,Leandro Riedi,1
437,Learner Tien,0
438,Leo Borg,0
439,Leonardo Mayer,1
440,Li Tu,0
441,Liam Broady,0
442,Liam Draxl,1
443,Liang Chi Huang,3
444,Lleyton Hewitt,1
445,Lloyd Harris,1
446,Lorenzo Giustino,1
447,Lorenzo Musetti,1
448,Lorenzo Sonego,1
449,Luca Nardi,0
450,Luca Van Assche,1
451,Luca Vanni,1
452,Lucas Catarina,0
453,Lucas Pouille,1
454,Luciano Darderi,1
455,Lukas Klein,1
456,Lukas Lacko,1
457,Lukas Neumayer,3
458,Lukas Rosol,1
459,Lukasz Kubot,0
460,Mackenzie Mcdonald,1
461,Magnus Norman,1
462,Makoto Ochi,1
463,Maks Kasnikowski,0
464,Malek Jaziri,0
465,Marat Safin,1
466,Marc Andrea Huesler,1
467,Marc Gicquel,3
468,Marc Lopez,3
469,Marc Polmans,0
470,Marc Rosset,1
471,Marc Sieber,1
472,Marcel Granollers,0
473,Marcelo Arevalo,3
474,Marcelo Rios,0
475,Marco Cecchinato,1
476,Marco Trungelliti,0
477,Marcos Baghdatis,1
478,Marcos Daniel,2
479,Marcos Giron,1
480,Marcus Willis,2
481,Mardy Fish,1
482,Mariano Navone,0
483,Mariano Puerta,3
484,Mariano Zabaleta,3
485,Marin Cilic,1
486,Marinko Matosevic,0
487,Mario Ancic,1
488,Mario Vilella Martinez,3
489,Marius Copil,2
490,Mark Lajal,3
491,Mark Philippoussis,2
492,Markus Hipfl,1
493,Marsel Ilhan,3
494,Martin Borisiouk,0
495,Martin Cuevas,0
496,Martin Klizan,1
497,Martin Landaluce,3
498,Martin Redlicki,1
499,Martin Verkerk,1
500,Marton Fucsovics,0
501,Masamichi Imamura,1
502,Mate Delic,3
503,Mate Valkusz,3
504,Mateus Alves,3
505,Mathias Bourgue,0
506,Matt Reid,3
507,Matteo Arnaldi,1
508,Matteo Berrettini,1
509,Matteo Martineau,1
510,Matthew Ebden,1
511,Matthias Bachinger,0
512,Mattia Bellucci,0
513,Matwe Middelkoop,2
514,Mauricio Echazu,3
515,Max Hans Rehberg,1
516,Max Houkes,1
517,Max Mirnyi,2
518,Max Purcell,1
519,Maxime Cressy,2
520,Maximilian Marterer,1
521,Maximilian Neuchrist,3
522,Maximo Gonzalez,1
523,Mees Rottgering,0
524,Michael Berrer,2
525,Michael Geerts,3
526,Michael Llodra,2
527,Michael Mmoh,0
528,Michael Redlicki,3
529,Michael Russell,0
530,Michael Zheng,0
531,Michal Przysiezny,1
532,Michel Kratochvil,0
533,Mikael Ymer,0
534,Mike Bryan,1
535,Mikhail Kukushkin,0
536,Mikhail Youzhny,0
537,Mili Poljicak,0
538,Miljan Zekic,3
539,Milos Raonic,1
540,Milos Sekulic,0
541,Miloslav Mecir Jr,0
542,Minhtuan Pham,3
543,Miomir Kecmanovic,1
544,Mirza Basic,1
545,Mischa Zverev,2
546,Mitchell Krueger,0
547,Moez Echargui,0
548,Mohamed Safwat,3
549,Murphy Cassone,1
550,N Sriram Balaji,0
551,Naoki Nakagawa,3
552,Nattan Benjasupawan,0
553,Nicholas Alan Van Aken,0
554,Nick Hardt,0
555,Nick Kyrgios,2
556,Nicola Kuhn,1
557,Nicolai Budkov Kjaer,0
558,Nicolas Almagro,1
559,Nicolas Alvarez Varona,3
560,Nicolas Devilder,3
561,Nicolas Escude,0
562,Nicolas Jarry,2
563,Nicolas Kiefer,0
564,Nicolas Lapentti,0
565,Nicolas Mahut,2
566,Nicolas Massu,3
567,Nicolas Mejia,3
568,Nicolas Moreno De Alboran,3
569,Nicolas Thomann,3
570,Niels Visker,3
571,Nikola Cacic,0
572,Nikola Milojevic,0
573,Nikolas Sanchez Izquierdo,0
574,Nikolay Davydenko,1
575,Nikoloz Basilashvili,1
576,Nino Serdarusic,3
577,Nishesh Basavareddy,1
578,Noah Rubin,3
579,Norbert Gombos,1
580,Novak Djokovic,1
581,Nuno Borges,3
582,Oleksandr Ovcharenko,0
