player,first_in_percent,first_won_percent,second_won_percent,return_points_won_percent,winners_percent,unforced_percent,df_percent,aces_and_unret_percentage,winners_per_point,forced_per_point,unforced_per_point,net_frequency,net_winner_rate,net_unforced_rate,net_forced_rate,net_points_won_ratio,forehand_side_shot_usage_pct,forehand_side_winner_pct,forehand_side_induced_forced_pct,forehand_side_unforced_pct,backhand_side_shot_usage_pct,backhand_side_winner_pct,backhand_side_induced_forced_pct,backhand_side_unforced_pct,forehand_groundstroke_shot_usage_pct,forehand_groundstroke_winner_pct,forehand_groundstroke_induced_forced_pct,forehand_groundstroke_unforced_pct,backhand_groundstroke_shot_usage_pct,backhand_groundstroke_winner_pct,backhand_groundstroke_induced_forced_pct,backhand_groundstroke_unforced_pct,forehand_slice_shot_usage_pct,forehand_slice_winner_pct,forehand_slice_induced_forced_pct,forehand_slice_unforced_pct,backhand_slice_shot_usage_pct,backhand_slice_winner_pct,backhand_slice_induced_forced_pct,backhand_slice_unforced_pct,forehand_volley_shot_usage_pct,forehand_volley_winner_pct,forehand_volley_induced_forced_pct,forehand_volley_unforced_pct,backhand_volley_shot_usage_pct,backhand_volley_winner_pct,backhand_volley_induced_forced_pct,backhand_volley_unforced_pct,overhead_smash_shot_usage_pct,overhead_smash_winner_pct,overhead_smash_induced_forced_pct,overhead_smash_unforced_pct,backhand_overhead_smash_shot_usage_pct,backhand_overhead_smash_winner_pct,backhand_overhead_smash_induced_forced_pct,backhand_overhead_smash_unforced_pct,forehand_drop_shot_shot_usage_pct,forehand_drop_shot_winner_pct,forehand_drop_shot_induced_forced_pct,forehand_drop_shot_unforced_pct,backhand_drop_shot_shot_usage_pct,backhand_drop_shot_winner_pct,backhand_drop_shot_induced_forced_pct,backhand_drop_shot_unforced_pct,forehand_lob_shot_usage_pct,forehand_lob_winner_pct,forehand_lob_induced_forced_pct,forehand_lob_unforced_pct,backhand_lob_shot_usage_pct,backhand_lob_winner_pct,backhand_lob_induced_forced_pct,backhand_lob_unforced_pct,forehand_half_volley_shot_usage_pct,forehand_half_volley_winner_pct,forehand_half_volley_induced_forced_pct,forehand_half_volley_unforced_pct,backhand_half_volley_shot_usage_pct,backhand_half_volley_winner_pct,backhand_half_volley_induced_forced_pct,backhand_half_volley_unforced_pct,forehand_swinging_volley_shot_usage_pct,forehand_swinging_volley_winner_pct,forehand_swinging_volley_induced_forced_pct,forehand_swinging_volley_unforced_pct,backhand_swinging_volley_shot_usage_pct,backhand_swinging_volley_winner_pct,backhand_swinging_volley_induced_forced_pct,backhand_swinging_volley_unforced_pct
Thiago Monteiro,0.6460905349794238,0.7165605095541401,0.5581395348837209,0.3355119825708061,0.1603174603174603,0.1523809523809524,0.0195473251028806,0.1378600823045267,0.2779605263157895,0.2796052631578947,0.4424342105263157,0.022834117,0.573529412,0.102941176,0.102941176,0.764705882,54.90261920752183,7.706422018348624,6.7889908256880735,9.602446483180428,44.59368703828073,3.2379518072289155,4.442771084337349,8.433734939759036,49.79852249832102,6.136210384356035,7.0128118678354685,9.97977073499663,33.982538616521154,1.7786561264822136,5.0395256916996045,9.387351778656129,2.384150436534587,2.8169014084507045,0.0,0.0,8.562793821356616,2.3529411764705883,1.1764705882352942,4.313725490196078,0.6715916722632639,50.0,5.0,20.0,0.6380120886501007,63.1578947368421,10.526315789473683,10.526315789473683,0.7051712558764271,61.90476190476191,14.285714285714285,4.761904761904762,0.0671591672263264,100.0,0.0,0.0,0.6715916722632639,40.0,5.0,20.0,0.5708529214237743,23.52941176470588,11.76470588235294,17.647058823529413,0.5036937541974479,0.0,6.666666666666667,0.0,0.7387508394895903,4.545454545454546,4.545454545454546,4.545454545454546,0.1007387508394895,66.66666666666666,0.0,0.0,0.0335795836131632,0.0,0.0,0.0,0.0671591672263264,0.0,50.0,0.0,,,,
Thiago Seyboth Wild,0.6220522625876355,0.6813524590163934,0.475548060708263,0.3594771241830065,0.1671506937721845,0.2087770248467247,0.0388782664117272,0.0739324410452517,0.3262987012987013,0.198051948051948,0.4756493506493506,0.032997763,0.418079096,0.118644068,0.084745763,0.661016949,56.73005219985085,10.187315149523496,5.389418337167269,11.304633585277688,43.25130499627144,3.965517241379312,3.4482758620689653,10.43103448275862,48.63907531692767,8.202376389421234,5.672671521655807,11.805289382905327,35.60775540641312,3.0890052356020945,3.193717277486911,11.30890052356021,3.560775540641312,4.18848167539267,1.5706806282722512,4.712041884816754,4.511558538404175,2.066115702479339,2.8925619834710745,3.71900826446281,1.1558538404175989,50.0,6.451612903225806,6.451612903225806,0.8948545861297539,33.33333333333333,18.75,16.666666666666664,0.8762117822520507,48.93617021276596,4.25531914893617,10.638297872340424,0.0559284116331096,33.33333333333333,0.0,33.33333333333333,1.6219239373601788,36.7816091954023,6.896551724137931,17.24137931034483,0.7643549589858314,19.51219512195122,7.317073170731707,19.51219512195122,0.727069351230425,0.0,2.564102564102564,0.0,1.249067859806115,2.985074626865672,0.0,0.0,0.0745712155108128,0.0,0.0,25.0,0.1677852348993288,11.11111111111111,0.0,0.0,0.0745712155108128,50.0,0.0,50.0,,,,
Thiemo De Bakker,0.6330275229357798,0.714975845410628,0.475,0.3273809523809524,0.171945701357466,0.1990950226244343,0.0122324159021406,0.1131498470948012,0.308,0.18,0.512,0.04743833,0.3,0.12,0.14,0.7,57.1157495256167,8.305647840531561,4.152823920265781,12.624584717607974,42.69449715370019,6.0,4.444444444444445,11.555555555555555,47.34345351043643,5.61122244488978,3.607214428857716,13.026052104208416,32.82732447817837,5.491329479768786,4.335260115606936,13.294797687861273,3.415559772296015,0.0,0.0,0.0,6.261859582542694,1.5151515151515151,3.0303030303030303,6.0606060606060606,1.89753320683112,40.0,20.0,15.0,1.6129032258064515,29.411764705882355,17.647058823529413,11.76470588235294,0.5692599620493358,16.666666666666664,0.0,16.666666666666664,,,,,3.130929791271347,33.33333333333333,6.0606060606060606,21.21212121212121,0.5692599620493358,0.0,0.0,0.0,0.3795066413662239,25.0,25.0,0.0,1.1385199240986716,16.666666666666664,0.0,0.0,0.3795066413662239,25.0,0.0,0.0,0.0948766603415559,0.0,0.0,0.0,,,,,0.1897533206831119,0.0,0.0,0.0
Thijs Boogaard,0.5074626865671642,0.7941176470588235,0.3333333333333333,0.2448979591836734,0.1293103448275862,0.2155172413793103,0.0597014925373134,0.0298507462686567,0.2765957446808511,0.2765957446808511,0.4468085106382978,0.042553191,0.5,0.125,0.0,0.625,46.27659574468085,8.045977011494253,6.896551724137931,13.79310344827586,53.72340425531915,5.9405940594059405,6.930693069306932,8.91089108910891,42.02127659574468,5.063291139240507,7.59493670886076,13.924050632911392,50.0,5.319148936170213,7.446808510638298,8.51063829787234,1.5957446808510638,0.0,0.0,33.33333333333333,2.127659574468085,0.0,0.0,0.0,1.0638297872340423,0.0,0.0,0.0,1.5957446808510638,33.33333333333333,0.0,33.33333333333333,1.0638297872340423,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5319148936170213,100.0,0.0,0.0,,,,,,,,,,,,
Thomas Enqvist,0.5051546391752577,0.7244897959183674,0.6041666666666666,0.4019138755980861,0.1687344913151365,0.1637717121588089,0.0412371134020618,0.1260199456029011,0.3117178612059158,0.267349260523322,0.4209328782707622,0.023255814,0.519480519,0.142857143,0.051948052,0.675324675,47.44268077601411,12.267657992565056,9.293680297397769,12.267657992565056,52.557319223985886,6.375838926174497,6.711409395973154,8.389261744966444,44.97354497354497,10.196078431372548,9.803921568627452,11.76470588235294,43.738977072310405,5.241935483870968,7.258064516129033,8.870967741935484,0.5291005291005291,0.0,0.0,33.33333333333333,5.996472663139329,0.0,0.0,5.88235294117647,0.7054673721340388,75.0,0.0,0.0,2.2927689594356258,46.15384615384615,15.384615384615383,7.6923076923076925,0.7054673721340388,75.0,0.0,25.0,,,,,,,,,,,,,,,,,0.1763668430335097,0.0,0.0,0.0,0.1763668430335097,0.0,0.0,0.0,0.3527336860670194,0.0,0.0,0.0,0.3527336860670194,50.0,0.0,50.0,,,,
Thomas Fabbiano,0.6852497096399536,0.7203389830508474,0.5977859778597786,0.3596698113207547,0.1299005266237566,0.1369221767115272,0.032520325203252,0.040650406504065,0.3357271095152603,0.2908438061041292,0.3698384201077199,0.025545941,0.548387097,0.016129032,0.193548387,0.870967742,60.19777503090234,10.130047912388775,7.597535934291582,7.871321013004791,39.71981870622167,4.045643153526971,5.29045643153527,9.439834024896266,55.74783683559951,8.573540280857355,7.53880266075388,8.27790096082779,31.520395550061803,3.5294117647058822,4.967320261437909,9.934640522875815,1.9365471775854963,4.25531914893617,2.127659574468085,2.127659574468085,6.427688504326329,1.282051282051282,3.8461538461538463,7.051282051282051,0.865265760197775,52.38095238095239,23.809523809523807,0.0,0.4944375772558714,50.0,41.66666666666667,0.0,0.865265760197775,71.42857142857143,9.523809523809524,4.761904761904762,,,,,0.1648125257519571,25.0,0.0,25.0,0.3708281829419036,0.0,11.11111111111111,44.44444444444444,0.4120313143798929,20.0,10.0,0.0,0.7828594973217964,15.789473684210526,5.263157894736842,0.0,,,,,0.0824062628759785,0.0,0.0,0.0,0.2060156571899464,20.0,0.0,0.0,0.0412031314379892,100.0,0.0,0.0
Thomas Johansson,0.5723140495867769,0.7870036101083032,0.5169082125603864,0.3097514340344168,0.1717974180734856,0.1688182720953326,0.03099173553719,0.1196013289036544,0.3033175355450237,0.278041074249605,0.4186413902053712,0.038892782,0.45045045,0.144144144,0.117117117,0.702702703,50.32835820895522,7.591933570581258,6.168446026097272,9.727164887307236,49.67164179104478,6.009615384615385,6.370192307692308,8.774038461538462,44.656716417910445,4.679144385026738,6.149732620320856,10.02673796791444,39.64179104477612,5.421686746987952,6.475903614457831,9.487951807228916,1.9104477611940296,6.25,0.0,0.0,6.865671641791045,1.7391304347826086,3.4782608695652173,2.608695652173913,1.3134328358208955,50.0,13.636363636363637,13.636363636363637,1.1940298507462688,35.0,15.0,15.0,1.0149253731343284,52.94117647058824,11.76470588235294,5.88235294117647,0.1194029850746268,0.0,50.0,0.0,0.3582089552238806,33.33333333333333,0.0,16.666666666666664,0.835820895522388,21.428571428571427,14.285714285714285,28.57142857142857,0.5970149253731344,10.0,0.0,10.0,0.8955223880597015,13.333333333333334,0.0,0.0,0.1194029850746268,50.0,0.0,0.0,0.1194029850746268,0.0,0.0,0.0,0.3582089552238806,50.0,16.666666666666664,16.666666666666664,,,,
Thomas Muster,0.7017543859649122,0.6,0.2941176470588235,0.3725490196078431,0.1111111111111111,0.1574074074074074,0.0701754385964912,0.0376602564102564,0.3178036605657238,0.2673322240709928,0.4137548530227399,0.029169981,0.412121212,0.081818182,0.090909091,0.663636364,60.0,3.92156862745098,7.84313725490196,6.862745098039216,39.41176470588236,2.985074626865672,2.985074626865672,8.955223880597014,53.52941176470589,3.296703296703297,8.791208791208792,7.6923076923076925,25.294117647058822,4.651162790697675,4.651162790697675,11.627906976744184,3.5294117647058822,0.0,0.0,0.0,12.941176470588236,0.0,0.0,0.0,1.1764705882352942,50.0,0.0,0.0,1.1764705882352942,0.0,0.0,50.0,0.5882352941176471,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.5882352941176471,0.0,0.0,0.0,,,,,0.5882352941176471,0.0,0.0,0.0,,,,
Thomaz Bellucci,0.6038514442916093,0.683371298405467,0.5173611111111112,0.3259587020648967,0.1402135231316726,0.2241992882562277,0.0316368638239339,0.0715268225584594,0.2631578947368421,0.2068965517241379,0.52994555353902,0.020055053,0.450980392,0.078431373,0.117647059,0.725490196,53.00825796303579,8.160237388724036,5.267062314540059,11.201780415430267,46.95241840346048,2.931323283082077,3.6013400335008376,11.809045226130651,48.171451042076285,6.204081632653061,4.979591836734694,11.428571428571429,41.40778607943374,2.184235517568851,3.798670465337132,12.155745489078823,1.533621706645694,0.0,2.564102564102564,2.564102564102564,3.853716083366103,0.0,2.0408163265306123,7.142857142857142,0.5898545025560362,53.333333333333336,13.333333333333334,6.666666666666667,0.7078254030672434,38.88888888888889,5.555555555555555,16.666666666666664,0.4718836020448289,66.66666666666666,25.0,0.0,,,,,1.533621706645694,41.02564102564102,7.6923076923076925,20.51282051282051,0.3932363350373574,40.0,0.0,30.0,0.5505308690523004,14.285714285714285,7.142857142857142,7.142857142857142,0.5112072355485646,7.6923076923076925,0.0,0.0,0.1179709005112072,0.0,0.0,0.0,0.0786472670074714,0.0,0.0,0.0,0.0393236335037357,0.0,0.0,0.0,,,,
Ti Chen,0.5777777777777777,0.8846153846153846,0.4736842105263157,0.4375,0.1505376344086021,0.043010752688172,0.0,0.1111111111111111,0.4090909090909091,0.4090909090909091,0.1818181818181818,0.031007752,0.75,0.0,0.25,1.0,48.06201550387597,11.29032258064516,8.064516129032258,3.225806451612903,51.93798449612403,2.985074626865672,5.970149253731343,2.985074626865672,44.18604651162791,8.771929824561402,7.017543859649122,3.508771929824561,47.28682170542636,1.639344262295082,6.557377049180328,1.639344262295082,1.550387596899225,0.0,0.0,0.0,3.875968992248062,0.0,0.0,20.0,2.3255813953488373,66.66666666666666,33.33333333333333,0.0,0.7751937984496124,100.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
