player,net_frequency,net_winner_rate,net_unforced_rate,net_forced_rate,net_points_won_ratio
Sebastian Fanselow,0.01754386,1,0,0,1
Sebastian Korda,0.050280734,0.445,0.15,0.115,0.71
Sebastian Ofner,0.033841754,0.436619718,0.211267606,0.084507042,0.647887324
Sebastien Grosjean,0.037189023,0.4,0.179310345,0.089655172,0.6
Seong Chan Hong,0.065088757,0.363636364,0.090909091,0,0.545454545
Sergey Fomin,0.00698324,0.6,0,0,0.6
Sergi Bruguera,0.026244344,0.536945813,0.064039409,0.068965517,0.75862069
Sergio Casal,0.1886121,0.301886792,0.113207547,0.113207547,0.698113208
Sergio Cortes,0.013468013,0.5,0.25,0.25,0.75
Sergiy Stakhovsky,0.119568567,0.355670103,0.077319588,0.134020619,0.701030928
Shintaro Mochizuki,0.04973822,0.368421053,0.210526316,0.157894737,0.631578947
Sho Katayama,0.018518519,0.5,0,0.5,1
Sho Shimabukuro,0.052325581,0.222222222,0.666666667,0,0.222222222
Simone Bolelli,0.02688172,0.466666667,0.066666667,0.066666667,0.8
Sjeng Schalken,0.046436285,0.372093023,0.046511628,0.151162791,0.686046512
Slobodan Zivojinovic,0.256594724,0.308411215,0.08411215,0.102803738,0.644859813
Somdev Devvarman,0.02739726,0.5,0.25,0.166666667,0.666666667
Soon Woo Kwon,0.031783402,0.425925926,0.074074074,0.111111111,0.703703704
Stan Smith,0.400447427,0.234636872,0.145251397,0.111731844,0.642458101
Stan Wawrinka,0.03530544,0.467718795,0.120516499,0.081779053,0.710186514
Stefan Edberg,0.265132264,0.336741214,0.097672296,0.137927887,0.701414879
Stefan Koubek,0.038043478,0.285714286,0,0.142857143,0.714285714
Stefan Kozlov,0.034722222,0.35,0,0.1,0.75
Stefano Napolitano,0.087378641,0.333333333,0.444444444,0,0.333333333
Stefano Pescosolido,0.071428571,0.428571429,0.142857143,0,0.714285714
Stefano Travaglia,0.016,0.5,0.5,0,0.5
Stefanos Sakellaridis,0.029126214,0.466666667,0.2,0.2,0.666666667
Stefanos Tsitsipas,0.051803467,0.485329104,0.098334655,0.108643933,0.748215702
Stephane Robert,0.020731707,0.352941176,0.176470588,0.117647059,0.529411765
Steve Darcis,0.04,0.458333333,0.027777778,0.166666667,0.736111111
Steve Denton,0.285714286,0.166666667,0.166666667,0.055555556,0.416666667
Steve Johnson,0.037958396,0.474576271,0.107344633,0.152542373,0.740112994
Steven Diez,0.012618297,0.625,0.125,0,0.875
Strong Kirchheimer,0.028089888,0.4,0.2,0,0.4
Sumit Nagal,0.02862254,0.5625,0,0.125,0.875
Takao Suzuki,0.324873096,0.2265625,0.1328125,0.09375,0.5
Tallon Griekspoor,0.054845559,0.463842221,0.067932798,0.146822498,0.765522279
Taro Daniel,0.02893368,0.528089888,0.134831461,0.06741573,0.707865169
Taylor Dent,0.365558912,0.26446281,0.181818182,0.123966942,0.545454545
Taylor Fritz,0.027781839,0.446052632,0.101315789,0.105263158,0.701315789
Tennys Sandgren,0.03222426,0.479674797,0.113821138,0.138211382,0.739837398
Teymuraz Gabashvili,0.041907514,0.448275862,0.051724138,0.068965517,0.706896552
Thai Son Kwiatkowski,0.015337423,0.6,0,0.2,1
Thanasi Kokkinakis,0.027121375,0.455445545,0.133663366,0.108910891,0.732673267
Thiago Agustin Tirante,0.017034068,0.529411765,0.235294118,0.058823529,0.588235294
Thiago Monteiro,0.022834117,0.573529412,0.102941176,0.102941176,0.764705882
Thiago Seyboth Wild,0.032997763,0.418079096,0.118644068,0.084745763,0.661016949
Thiemo De Bakker,0.04743833,0.3,0.12,0.14,0.7
Thierry Champion,0.066666667,0.416666667,0.333333333,0.25,0.666666667
Thijs Boogaard,0.042553191,0.5,0.125,0,0.625
Thomas Enqvist,0.023255814,0.519480519,0.142857143,0.051948052,0.675324675
Thomas Fabbiano,0.025545941,0.548387097,0.016129032,0.193548387,0.870967742
Thomas Johansson,0.038892782,0.45045045,0.144144144,0.117117117,0.702702703
Thomas Muster,0.029169981,0.412121212,0.081818182,0.090909091,0.663636364
Thomaz Bellucci,0.020055053,0.450980392,0.078431373,0.117647059,0.725490196
Ti Chen,0.031007752,0.75,0,0.25,1
Tim Henman,0.18320996,0.295684114,0.111111111,0.140495868,0.654729109
Tim Mayotte,0.381625442,0.216049383,0.141975309,0.157407407,0.632716049
Tim Smyczek,0.023668639,0.6,0.05,0.2,0.85
Tim Van Rijthoven,0.037876693,0.598540146,0.04379562,0.087591241,0.861313869
Tim Wilkison,0.280555556,0.118811881,0.128712871,0.148514851,0.544554455
Timofey Skatov,0.016901408,0.5,0.25,0.083333333,0.666666667
Titouan Droguet,0.02484472,0.5,0.25,0,0.5
Tobias Kamke,0.031561462,0.631578947,0,0.052631579,0.842105263
Todd Martin,0.159395973,0.310526316,0.130263158,0.144736842,0.644736842
Todd Reid,0.007936508,0.5,0,0,1
Todd Woodbridge,0.156580211,0.325153374,0.153374233,0.128834356,0.693251534
Tomas Barrios Vera,0.048370137,0.326086957,0.152173913,0.065217391,0.5
Tomas Behrend,0.026315789,0.666666667,0,0.333333333,1
Tomas Berdych,0.039495991,0.495359629,0.118329466,0.09512761,0.740139211
Tomas Carbonell,0.05859375,0.466666667,0.133333333,0.066666667,0.6
Tomas Machac,0.053498542,0.485013624,0.114441417,0.098092643,0.727520436
Tomas Martin Etcheverry,0.033214103,0.476923077,0.051282051,0.148717949,0.758974359
Tomas Zib,0.042016807,0.8,0,0,0.8
Tomasz Berkieta,0.050228311,0.636363636,0,0.090909091,1
Tommy Haas,0.048662015,0.388384755,0.09800363,0.096188748,0.675136116
Tommy Paul,0.045124091,0.49,0.128888889,0.096666667,0.743333333
Tommy Robredo,0.026262964,0.47133758,0.101910828,0.114649682,0.751592357
Tony Roche,0.405857741,0.18556701,0.134020619,0.092783505,0.484536082
Tristan Schoolkate,0.061124694,0.42,0.08,0.1,0.74
Tsung Hua Yang,0.029684601,0.375,0.0625,0.3125,0.875
Tung Lin Wu,0.017667845,0.6,0,0,0.6
Ty Trombetta,0.013513514,1,0,0,1
Ugo Blanchet,0.026578073,0.5,0,0.375,1
Ugo Humbert,0.028412547,0.513761468,0.137614679,0.079510703,0.721712538
Uladzimir Ignatik,0.043103448,0.3,0.3,0.1,0.7
Ulises Blanch,0.030864198,0.6,0,0,0.8
Vaclav Safranek,0.026004728,0.363636364,0.181818182,0.181818182,0.727272727
Valentin Royer,0.045343137,0.540540541,0.108108108,0.081081081,0.702702703
Valentin Vacherot,0.035493827,0.608695652,0.086956522,0.043478261,0.739130435
Vasek Pospisil,0.077586207,0.488888889,0.137037037,0.088888889,0.733333333
Victor Estrella,0.021121631,0.620689655,0.068965517,0,0.862068966
Victor Hanescu,0.052173913,0.4,0.133333333,0.066666667,0.666666667
Victor Pecci,0.122807018,0.454545455,0.064935065,0.064935065,0.766233766
Viktor Durasovic,0.060679612,0.52,0.08,0.08,0.72
Viktor Troicki,0.052840159,0.35,0.1,0.158333333,0.666666667
Vilius Gaubas,0.003610108,0,0,0,1
Vincent Millot,0.037433155,0.571428571,0.142857143,0,0.714285714
Vincent Spadea,0.020408163,0.333333333,0,0,0.555555556
Vincenzo Santopadre,0.027906977,0.333333333,0,0,1
Vit Kopriva,0.007194245,0.5,0.5,0,0.5
Vitas Gerulaitis,0.175103306,0.283185841,0.085545723,0.14159292,0.657817109
Vladimir Ivanov,0.018284107,0.615384615,0,0.153846154,1
Vladimir Voltchkov,0.161764706,0.318181818,0.136363636,0.181818182,0.545454545
Wally Masur,0.251001335,0.20212766,0.090425532,0.122340426,0.60106383
Wayne Arthurs,0.272727273,0.333333333,0.148148148,0.166666667,0.62962963
Wayne Ferreira,0.05135045,0.435064935,0.155844156,0.097402597,0.720779221
Wayne Odesnik,0.02283105,0.6,0.2,0,0.8
Werner Eschauer,0.047619048,0.375,0.25,0.375,0.75
Wesley Moodie,0.185328185,0.25,0.125,0.125,0.604166667
Xavier Malisse,0.02617801,0.533333333,0.033333333,0.2,0.8
Yannick Hanfmann,0.051397033,0.496644295,0.067114094,0.087248322,0.67114094
Yannick Maden,0.01810585,0.384615385,0,0.076923077,0.615384615
Yannick Mertens,0.009404389,1,0,0,1
Yannick Noah,0.12735426,0.341549296,0.091549296,0.088028169,0.626760563
Yasutaka Uchiyama,0.035340314,0.555555556,0.037037037,0.148148148,0.925925926
Yen Hsun Lu,0.003367003,0,0,0,0
Yevgeny Kafelnikov,0.059520431,0.386174017,0.113230036,0.120381406,0.722288439
Yibing Wu,0.044711952,0.461538462,0.173076923,0.115384615,0.692307692
Yoshihito Nishioka,0.027475728,0.448763251,0.176678445,0.091872792,0.671378092
Yosuke Watanuki,0.046062407,0.677419355,0.096774194,0.064516129,0.774193548
Younes El Aynaoui,0.052734375,0.574074074,0.074074074,0.037037037,0.833333333
Younes Lalami Laaroussi,0.095238095,0.6,0,0.1,0.8
Yu Hsiou Hsu,0.062880325,0.387096774,0.032258065,0.096774194,0.709677419
Yuichi Ito,0.052325581,0.333333333,0,0.111111111,0.666666667
Yuichi Sugita,0.014029618,0.388888889,0.111111111,0.111111111,0.555555556
Yuki Bhambri,0.03875969,0.5,0.2,0.2,0.7
Zachary Svajda,0.036789298,0.272727273,0.181818182,0.090909091,0.545454545
Zdenek Kolar,0.026286966,0.625,0.041666667,0.083333333,0.791666667
Ze Zhang,0.041597338,0.64,0.08,0.04,0.88
Zeljko Krajan,0.025380711,0.2,0.6,0,0.4
Zhe Li,0.030634573,0.428571429,0.071428571,0,0.5
Zhizhen Zhang,0.039207998,0.455,0.125,0.1,0.69
Zizou Bergs,0.048309179,0.423076923,0.138461538,0.123076923,0.715384615
Zsombor Piros,0.015444015,0.75,0,0,0.875
