,player,hierarchial_cluster
232,Federico Agustin Gomez,2
233,Federico Arnaboldi,0
234,Federico Cina,0
235,Federico Coria,0
236,Federico Delbonis,0
237,Federico Gaio,0
238,Federico Luzzi,2
239,Feliciano Lopez,2
240,Felix Auger Aliassime,2
241,Felix Mantilla,0
242,Fernando Gonzalez,0
243,Fernando Romboli,0
244,Fernando Verdasco,0
245,Filip Bergevi,2
246,Filip Cristian Jianu,1
247,Filip Horansky,0
248,Filip Krajinovic,0
249,Filip Misolic,2
250,Filippo Volandri,0
251,Fitriadi M Rifqi,2
252,Flavio Cobolli,0
253,Flavio Saretta,0
254,Florent Serra,0
255,Florian Mayer,0
256,Frances Tiafoe,2
257,Francesco Maestrelli,2
258,Francesco Passaro,0
259,Francisco Cerundolo,0
260,Francisco Comesana,2
261,Francisco Llanes,1
262,Franco Skugor,2
263,Franco Squillari,0
264,Frank Dancevic,0
265,Gabriel Decamps,2
266,Gabriel Diallo,2
267,Gabriele Felline,0
268,Gael Monfils,2
269,Gastao Elias,2
270,Gaston Gaudio,0
271,Gavin Van Peperzeel,0
272,Genaro Alberto Olivieri,0
273,George Bastl,0
274,Gerald Melzer,0
275,Germain Gigounon,1
276,Gianluca Mager,0
277,Gianluigi Quinzi,1
278,Gijs Brouwer,0
279,Gilles Arnaud Bailly,0
280,Gilles Muller,2
281,Gilles Simon,0
282,Giorgio Galimberti,0
283,Giovanni Lapentti,0
284,Giovanni Mpetshi Perricard,2
285,Giulio Zeppieri,0
286,Goncalo Oliveira,0
287,Gonzalo Escobar,2
288,Gonzalo Lama,2
289,Goran Ivanisevic,3
290,Govind Nanda,0
291,Greg Rusedski,3
292,Grega Zemlja,2
293,Gregoire Barrere,0
294,Grigor Dimitrov,2
295,Guido Andreozzi,0
296,Guido Pella,0
297,Guillermo Canas,0
298,Guillermo Coria,0
299,Guillermo Garcia Lopez,2
300,Gustavo Kuerten,2
301,Guy Den Ouden,0
302,Hady Habib,0
303,Hamad Medjedovic,2
304,Harel Levy,0
305,Harold Mayot,0
306,Henri Laaksonen,2
307,Henrique Rocha,0
308,Hernan Casanova,0
309,Hiroki Moriya,0
310,Ho Gi Kang,1
311,Holger Rune,0
312,Horacio Zeballos,0
313,Hubert Hurkacz,2
314,Hugo Dellien,0
315,Hugo Gaston,0
316,Hugo Grenier,0
317,Hunter Reese,1
318,Hyeon Chung,0
319,Hyung Taik Lee,0
320,Ignacio Buse,0
321,Igor Andreev,0
322,Igor Sijsling,2
323,Illya Marchenko,0
324,Ilya Ivashka,0
325,Inaki Montes De La Torre,0
326,Inigo Cervantes Huegun,0
327,Irakli Labadze,0
328,Ivan Dodig,0
329,Ivan Gakhov,0
330,Ivan Ljubicic,2
331,Ivo Heuberger,0
332,Ivo Karlovic,3
333,Ivo Minar,0
334,Izak Van Der Merwe,0
335,J J Wolf,0
336,Jack Brasington,0
337,Jack Draper,2
338,Jack Sock,2
339,Jacob Fearnley,2
340,Jaime Faria,2
341,Jakub Mensik,2
342,James Blake,0
343,James Duckworth,2
344,James Mccabe,2
345,James Trotter,1
346,James Ward,0
347,Jan Choinski,0
348,Jan Hernych,0
349,Jan Kroslak,0
350,Jan Kumstat,2
351,Jan Lennard Struff,2
352,Jan Michael Gambill,0
353,Janko Tipsarevic,0
354,Jannik Sinner,2
355,Jared Donaldson,2
356,Jarkko Nieminen,0
357,Jarmere Jenkins,0
358,Jason Jung,0
359,Jason Kubler,0
360,Jaume Munar,0
361,Javier Barranco Cosano,0
362,Jay Clarke,0
363,Jean Rene Lisnard,0
364,Jean Yves Aubone,0
365,Jelle Sels,0
366,Jenson Brooksby,0
367,Jeremy Chardy,0
368,Jeremy Jahn,0
369,Jerome Kym,0
370,Jerzy Janowicz,0
371,Jesper De Jong,0
372,Jimmy Wang,0
373,Jiri Lehecka,2
374,Jiri Novak,0
375,Jiri Vanek,0
376,Jiri Vesely,2
377,Jo Wilfred Tsonga,0
378,Jo Wilfried Tsonga,2
379,Joachim Johansson,2
380,Joao Fonseca,2
381,Joao Menezes,0
382,Joao Sousa,0
383,Joao Souza,0
384,Johan Sebastien Tatlot,0
385,Johannes Haerteis,2
386,John Isner,2
387,John Millman,0
388,Jonas Bjorkman,0
389,Jordan Thompson,0
390,Joris De Loore,0
391,Jose Acasuso,2
392,Jose Hernandez,0
393,Jose Rubin Statham,0
394,Joshua Sheehy,2
395,Jozef Kovalik,0
396,Juan Carlos Ferrero,0
397,Juan Carlos Prado Angelo,0
398,Juan Carlos Saez,1
399,Juan Ignacio Chela,0
400,Juan Ignacio Londero,0
401,Juan Manuel Cerundolo,0
402,Juan Martin Del Potro,2
403,Juan Monaco,0
404,Juan Pablo Varillas,0
405,Julian Reister,2
406,Julien Benneteau,0
407,Julien Boutter,0
408,Juncheng Shang,0
409,Jurgen Melzer,0
410,Jurgen Zopp,0
411,Jurij Rodionov,0
412,Kamil Majchrzak,0
413,Karen Khachanov,2
414,Karim Mohamed Maamoun,0
415,Karlis Ozolins,2
416,Karol Beck,0
417,Karue Sell,0
418,Kasidit Samrej,0
419,Kaylan Bigun,0
420,Kei Nishikori,0
421,Kevin Anderson,2
422,Kevin King,0
423,Kevin Krawietz,3
424,Kilian Feldbausch,2
425,Kimmer Coppejans,0
426,Kiranpal Pannu,0
427,Konstantin Kravchuk,0
428,Kris Van Wyk,0
429,Kristian Pless,0
430,Kristof Vliegen,0
431,Kyle Edmund,0
432,Kyrian Jacquet,0
433,Laslo Djere,0
434,Laurent Lokoli,0
435,Laurynas Grigelis,0
436,Leandro Riedi,0
437,Learner Tien,0
438,Leo Borg,0
439,Leonardo Mayer,0
440,Li Tu,0
441,Liam Broady,0
442,Liam Draxl,2
443,Liang Chi Huang,0
444,Lleyton Hewitt,2
445,Lloyd Harris,2
446,Lorenzo Giustino,0
447,Lorenzo Musetti,0
448,Lorenzo Sonego,2
449,Luca Nardi,0
450,Luca Van Assche,2
451,Luca Vanni,2
452,Lucas Catarina,0
453,Lucas Pouille,0
454,Luciano Darderi,2
455,Lukas Klein,0
456,Lukas Lacko,0
457,Lukas Neumayer,0
458,Lukas Rosol,0
459,Lukasz Kubot,0
460,Mackenzie Mcdonald,0
461,Magnus Norman,0
462,Makoto Ochi,0
463,Maks Kasnikowski,0
