,player,shot_type,shot_usage_pct,winner_pct,induced_forced_pct,unforced_pct,non_pt_ending_pct
0,Abedallah Shelbayh,B,30.63457330415755,2.142857142857143,5.714285714285714,12.142857142857142,80.0
1,Abedallah Shelbayh,Base,93.8730853391685,6.293706293706294,3.263403263403263,12.82051282051282,77.62237762237763
2,Abedallah Shelbayh,Bgs,36.542669584245075,2.3952095808383236,5.389221556886228,11.377245508982035,80.83832335329342
3,Abedallah Shelbayh,Bside,41.13785557986871,4.25531914893617,5.851063829787234,10.638297872340425,79.25531914893617
4,Abedallah Shelbayh,Dr,4.3763676148796495,20.0,0.0,25.0,55.00000000000001
5,Abedallah Shelbayh,F,49.23413566739606,7.555555555555555,2.2222222222222223,13.777777777777779,76.44444444444444
6,Abedallah Shelbayh,Fgs,51.85995623632385,7.59493670886076,2.109704641350211,13.080168776371309,77.21518987341773
7,Abedallah Shelbayh,Fside,57.98687089715536,12.075471698113208,1.8867924528301887,13.584905660377359,72.45283018867924
8,Abedallah Shelbayh,Gs,79.86870897155362,5.47945205479452,3.5616438356164384,13.150684931506849,77.8082191780822
9,Abedallah Shelbayh,Hv,0.2188183807439825,0.0,100.0,0.0,0.0
10,Abedallah Shelbayh,I,0.2188183807439825,0.0,100.0,0.0,0.0
11,Abedallah Shelbayh,J,0.437636761487965,50.0,0.0,0.0,50.0
12,Abedallah Shelbayh,L,0.6564551422319475,33.33333333333333,0.0,0.0,66.66666666666666
13,Abedallah Shelbayh,Lo,1.0940919037199124,20.0,0.0,0.0,80.0
14,Abedallah Shelbayh,M,0.437636761487965,0.0,0.0,0.0,100.0
15,Abedallah Shelbayh,Net,5.25164113785558,54.166666666666664,8.333333333333332,4.166666666666666,33.33333333333333
16,Abedallah Shelbayh,O,1.312910284463895,100.0,0.0,0.0,0.0
17,Abedallah Shelbayh,Ov,1.5317286652078774,100.0,0.0,0.0,0.0
18,Abedallah Shelbayh,P,0.2188183807439825,100.0,0.0,0.0,0.0
19,Abedallah Shelbayh,R,2.62582056892779,8.333333333333332,0.0,0.0,91.66666666666666
20,Abedallah Shelbayh,S,5.908096280087528,3.7037037037037033,3.7037037037037033,7.4074074074074066,85.18518518518519
21,Abedallah Shelbayh,Sl,8.533916849015318,5.128205128205128,2.564102564102564,5.128205128205128,87.17948717948718
22,Abedallah Shelbayh,Sw,0.437636761487965,50.0,0.0,0.0,50.0
23,Abedallah Shelbayh,T,0.437636761487965,0.0,0.0,0.0,100.0
24,Abedallah Shelbayh,Total,100.0,8.752735229759299,3.7199124726477026,12.25382932166302,75.27352297592998
25,Abedallah Shelbayh,U,2.8446389496717726,23.076923076923077,0.0,30.76923076923077,46.15384615384615
26,Abedallah Shelbayh,V,0.87527352297593,75.0,0.0,25.0,0.0
27,Abedallah Shelbayh,Vo,3.063457330415755,35.714285714285715,7.142857142857142,7.142857142857142,50.0
28,Abedallah Shelbayh,Y,1.5317286652078774,14.285714285714285,0.0,14.285714285714285,71.42857142857143
29,Abedallah Shelbayh,Z,2.1881838074398248,20.0,10.0,0.0,70.0
30,Adam Pavlasek,B,42.716857610474634,1.532567049808429,3.065134099616858,14.942528735632186,80.45977011494253
31,Adam Pavlasek,Base,96.23567921440261,3.9115646258503403,3.9115646258503403,14.285714285714285,77.89115646258503
32,Adam Pavlasek,Bgs,52.700490998363335,1.5527950310559007,2.7950310559006213,13.975155279503104,81.67701863354037
33,Adam Pavlasek,Bside,55.646481178396066,2.6470588235294117,3.5294117647058822,13.823529411764707,80.0
34,Adam Pavlasek,Dr,1.309328968903437,25.0,12.5,12.5,50.0
35,Adam Pavlasek,F,38.62520458265139,6.779661016949152,5.508474576271186,15.677966101694915,72.03389830508475
36,Adam Pavlasek,Fgs,41.57119476268412,6.299212598425196,5.118110236220472,14.960629921259844,73.62204724409449
37,Adam Pavlasek,Fside,44.35351882160393,8.118081180811808,5.904059040590406,14.391143911439114,71.58671586715867
38,Adam Pavlasek,Gs,81.34206219312603,4.0241448692152915,4.225352112676056,15.29175050301811,76.45875251509054
39,Adam Pavlasek,J,0.16366612111292964,0.0,100.0,0.0,0.0
40,Adam Pavlasek,L,0.16366612111292964,0.0,0.0,0.0,100.0
41,Adam Pavlasek,Lo,0.6546644844517185,0.0,0.0,0.0,100.0
42,Adam Pavlasek,M,0.4909983633387889,0.0,0.0,0.0,100.0
43,Adam Pavlasek,Net,3.764320785597381,34.78260869565217,21.73913043478261,8.695652173913043,34.78260869565217
44,Adam Pavlasek,O,0.8183306055646482,20.0,0.0,20.0,60.0
45,Adam Pavlasek,Ov,0.9819967266775778,16.666666666666664,0.0,16.666666666666664,66.66666666666666
46,Adam Pavlasek,P,0.16366612111292964,0.0,0.0,0.0,100.0
47,Adam Pavlasek,R,2.9459901800327333,0.0,0.0,5.555555555555555,94.44444444444444
48,Adam Pavlasek,S,9.983633387888707,1.639344262295082,1.639344262295082,9.836065573770492,86.88524590163934
49,Adam Pavlasek,Sl,12.92962356792144,1.2658227848101267,1.2658227848101267,8.860759493670885,88.60759493670885
50,Adam Pavlasek,Sw,0.16366612111292964,0.0,100.0,0.0,0.0
51,Adam Pavlasek,Total,100.0,5.073649754500818,4.582651391162029,14.075286415711949,76.2684124386252
52,Adam Pavlasek,U,0.32733224222585927,0.0,50.0,0.0,50.0
53,Adam Pavlasek,V,1.309328968903437,62.5,12.5,0.0,25.0
54,Adam Pavlasek,Vo,2.618657937806874,43.75,25.0,6.25,25.0
55,Adam Pavlasek,Y,0.9819967266775778,33.33333333333333,0.0,16.666666666666664,50.0
56,Adam Pavlasek,Z,1.309328968903437,25.0,37.5,12.5,25.0
57,Adam Walton,B,44.623655913978496,0.6024096385542169,4.216867469879518,6.024096385542169,89.1566265060241
58,Adam Walton,Base,96.23655913978494,2.5139664804469275,5.58659217877095,5.865921787709497,86.03351955307262
59,Adam Walton,Bgs,49.73118279569893,1.0810810810810811,3.783783783783784,5.405405405405405,89.72972972972974
60,Adam Walton,Bside,52.68817204301075,2.5510204081632653,4.081632653061225,5.1020408163265305,88.26530612244898
61,Adam Walton,F,41.935483870967744,3.8461538461538463,8.333333333333332,7.051282051282051,80.76923076923077
