match_id,player,winners_per_point,forced_per_point,unforced_per_point
20250521-W-Roland_Garros-Q2-Nao_Hibino-Bianca_Andreescu,Bianca Andreescu,0.45161290322580644,0.1935483870967742,0.3548387096774194
20250520-W-Roland_Garros-Q1-Linda_Fruhvirtova-Linda_Klimovicova,Linda Fruhvirtova,0.5121951219512195,0.14634146341463414,0.34146341463414637
20250520-W-Roland_Garros-Q1-Linda_Fruhvirtova-Linda_Klimovicova,Linda Klimovicova,0.3793103448275862,0.3103448275862069,0.3103448275862069
20250519-W-Roland_Garros-Q1-Xinxin_Yao-Bianca_Andreescu,Xinxin Yao,0.3333333333333333,0.08333333333333333,0.5833333333333334
20250519-W-Roland_Garros-Q1-Xinxin_Yao-Bianca_Andreescu,Bianca Andreescu,0.5098039215686274,0.2549019607843137,0.23529411764705882
20250514-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Coco Gauff,0.37735849056603776,0.18867924528301888,0.4339622641509434
20250514-W-Rome-QF-Coco_Gauff-Mirra_Andreeva,Mirra Andreeva,0.3898305084745763,0.1016949152542373,0.5084745762711864
20250514-W-Rome-QF-Aryna_Sabalenka-Qinwen_Zheng,Aryna Sabalenka,0.3125,0.2916666666666667,0.3958333333333333
20250514-W-Rome-QF-Aryna_Sabalenka-Qinwen_Zheng,Qinwen Zheng,0.29411764705882354,0.43137254901960786,0.27450980392156865
20250512-W-Rome-R16-Qinwen_Zheng-Bianca_Andreescu,Qinwen Zheng,0.4262295081967213,0.22950819672131148,0.3442622950819672
20250512-W-Rome-R16-Qinwen_Zheng-Bianca_Andreescu,Bianca Andreescu,0.24324324324324326,0.10810810810810811,0.6486486486486487
20250512-W-Rome-R16-Clara_Tauson-Mirra_Andreeva,Clara Tauson,0.2638888888888889,0.19444444444444445,0.5416666666666666
20250512-W-Rome-R16-Clara_Tauson-Mirra_Andreeva,Mirra Andreeva,0.4125,0.1125,0.475
20250511-W-Rome-R32-Linda_Noskova-Mirra_Andreeva,Linda Noskova,0.25,0.16176470588235295,0.5882352941176471
20250511-W-Rome-R32-Linda_Noskova-Mirra_Andreeva,Mirra Andreeva,0.44,0.12,0.44
20250511-W-Rome-R32-Elena_Rybakina-Bianca_Andreescu,Elena Rybakina,0.3275862068965517,0.15517241379310345,0.5172413793103449
20250511-W-Rome-R32-Elena_Rybakina-Bianca_Andreescu,Bianca Andreescu,0.36585365853658536,0.2682926829268293,0.36585365853658536
20250509-W-Rome-R64-Emiliana_Arango-Mirra_Andreeva,Emiliana Arango,0.2,0.2222222222222222,0.5777777777777777
20250509-W-Rome-R64-Emiliana_Arango-Mirra_Andreeva,Mirra Andreeva,0.4117647058823529,0.14705882352941177,0.4411764705882353
20250509-W-Rome-R64-Donna_Vekic-Bianca_Andreescu,Donna Vekic,0.4057971014492754,0.14492753623188406,0.4492753623188406
20250509-W-Rome-R64-Donna_Vekic-Bianca_Andreescu,Bianca Andreescu,0.3617021276595745,0.2553191489361702,0.3829787234042553
20250507-W-Rome-R128-Victoria_Mboko-Arianna_Zucchini,Victoria Mboko,0.17391304347826086,0.30434782608695654,0.5217391304347826
20250507-W-Rome-R128-Victoria_Mboko-Arianna_Zucchini,Arianna Zucchini,0.2571428571428571,0.08571428571428572,0.6571428571428571
20250507-W-Rome-R128-Naomi_Osaka-Sara_Errani,Naomi Osaka,0.4533333333333333,0.12,0.4266666666666667
20250507-W-Rome-R128-Naomi_Osaka-Sara_Errani,Sara Errani,0.21739130434782608,0.2608695652173913,0.5217391304347826
20250507-W-Rome-R128-Federica_Urgesi-Bianca_Andreescu,Federica Urgesi,0.2,0.28,0.52
20250507-W-Rome-R128-Federica_Urgesi-Bianca_Andreescu,Bianca Andreescu,0.4339622641509434,0.24528301886792453,0.32075471698113206
20250507-W-Rome-R128-Antonia_Ruzic-Tyra_Caterina_Grant,Antonia Ruzic,0.43636363636363634,0.14545454545454545,0.41818181818181815
20250507-W-Rome-R128-Antonia_Ruzic-Tyra_Caterina_Grant,Tyra Caterina Grant,0.34408602150537637,0.22580645161290322,0.41935483870967744
20250501-W-Madrid-SF-Iga_Swiatek-Coco_Gauff,Iga Swiatek,0.17142857142857143,0.2571428571428571,0.5714285714285714
20250501-W-Madrid-SF-Iga_Swiatek-Coco_Gauff,Coco Gauff,0.48,0.32,0.2
