tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2013-339,Brisbane,Hard,28,A,20121230,21,104918,1.0,,Andy Murray,R,191.0,GBR,25.6,104797,,,Denis Istomin,R,185.0,UZB,26.3,6-4 7-6(3),3,QF,97.0,4.0,2.0,71.0,46.0,38.0,16.0,11.0,2.0,2.0,7.0,1.0,70.0,39.0,27.0,19.0,11.0,0.0,1.0,3.0,8000.0,43.0,897.0,atp_matches_2013.csv,2012-12-30,2233.5588547902744,1665.2615788337978,2158.149682645217,1608.8236852074256
2013-339,Brisbane,Hard,28,A,20121230,21,104918,1.0,,Andy Murray,R,191.0,GBR,25.6,104797,,,Denis Istomin,R,185.0,UZB,26.3,6-4 7-6(3),3,QF,97.0,4.0,2.0,71.0,46.0,38.0,16.0,11.0,2.0,2.0,7.0,1.0,70.0,39.0,27.0,19.0,11.0,0.0,1.0,3.0,8000.0,43.0,897.0,atp_matches_2013.csv,2012-12-30,2244.6026170973387,1726.8344812662476,2169.5029984795888,1667.9421339673393
2013-339,Brisbane,Hard,28,A,20121230,20,105777,,,Grigor Dimitrov,R,191.0,BUL,21.6,105683,2.0,,Milos Raonic,R,196.0,CAN,22.0,6-3 6-4,3,R16,61.0,10.0,4.0,52.0,26.0,26.0,15.0,10.0,2.0,2.0,4.0,2.0,43.0,24.0,21.0,11.0,9.0,1.0,3.0,48.0,866.0,13.0,2380.0,atp_matches_2013.csv,2012-12-30,1827.3305343404745,1963.6636326868058,1722.5983760118236,1928.0355576728775
2013-339,Brisbane,Hard,28,A,20121230,20,105777,,,Grigor Dimitrov,R,191.0,BUL,21.6,105683,2.0,,Milos Raonic,R,196.0,CAN,22.0,6-3 6-4,3,R16,61.0,10.0,4.0,52.0,26.0,26.0,15.0,10.0,2.0,2.0,4.0,2.0,43.0,24.0,21.0,11.0,9.0,1.0,3.0,48.0,866.0,13.0,2380.0,atp_matches_2013.csv,2012-12-30,1882.0889923349528,1941.6888190509935,1782.6253146736997,1903.542327630852
2013-339,Brisbane,Hard,28,A,20121230,2,103720,,WC,Lleyton Hewitt,R,180.0,AUS,31.8,103857,,LL,Igor Kunitsyn,R,180.0,RUS,31.2,6-3 4-6 6-2,3,R32,124.0,8.0,2.0,69.0,34.0,29.0,21.0,13.0,1.0,2.0,7.0,5.0,99.0,53.0,37.0,19.0,14.0,6.0,10.0,83.0,625.0,162.0,339.0,atp_matches_2013.csv,2012-12-30,1786.0385544061803,1433.1997171551002,1773.7195022742462,1471.566134070442
2013-339,Brisbane,Hard,28,A,20121230,2,103720,,WC,Lleyton Hewitt,R,180.0,AUS,31.8,103857,,LL,Igor Kunitsyn,R,180.0,RUS,31.2,6-3 4-6 6-2,3,R32,124.0,8.0,2.0,69.0,34.0,29.0,21.0,13.0,1.0,2.0,7.0,5.0,99.0,53.0,37.0,19.0,14.0,6.0,10.0,83.0,625.0,162.0,339.0,atp_matches_2013.csv,2012-12-30,1789.7497776176406,1429.48849394364,1778.5002213771754,1466.785414967513
2013-339,Brisbane,Hard,28,A,20121230,3,104797,,,Denis Istomin,R,185.0,UZB,26.3,105373,8.0,,Martin Klizan,L,191.0,SVK,23.4,6-1 6-2,3,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0,43.0,897.0,30.0,1175.0,atp_matches_2013.csv,2012-12-30,1664.0914633973366,1809.5011779995366,1607.5240296894158,1698.4213929076143
2013-339,Brisbane,Hard,28,A,20121230,3,104797,,,Denis Istomin,R,185.0,UZB,26.3,105373,8.0,,Martin Klizan,L,191.0,SVK,23.4,6-1 6-2,3,R32,70.0,6.0,2.0,53.0,33.0,28.0,8.0,8.0,2.0,2.0,3.0,3.0,57.0,31.0,19.0,9.0,7.0,9.0,13.0,43.0,897.0,30.0,1175.0,atp_matches_2013.csv,2012-12-30,1686.4224272775004,1787.1702141193728,1627.617046516076,1678.328376080954
2013-339,Brisbane,Hard,28,A,20121230,4,103813,,,Jarkko Nieminen,L,185.0,FIN,31.4,103898,,,Julien Benneteau,R,185.0,FRA,31.0,6-3 2-6 6-1,3,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0,41.0,927.0,35.0,1075.0,atp_matches_2013.csv,2012-12-30,1667.3819255363303,1831.6663510658823,1672.6784896272743,1747.6289248160795
2013-339,Brisbane,Hard,28,A,20121230,4,103813,,,Jarkko Nieminen,L,185.0,FIN,31.4,103898,,,Julien Benneteau,R,185.0,FRA,31.0,6-3 2-6 6-1,3,R32,104.0,4.0,1.0,94.0,63.0,40.0,15.0,12.0,8.0,11.0,6.0,6.0,70.0,48.0,29.0,7.0,12.0,1.0,6.0,41.0,927.0,35.0,1075.0,atp_matches_2013.csv,2012-12-30,1690.4298942413052,1808.6183823609074,1692.0775205229415,1728.2298939204122
