tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2017-0451,Doha,Hard,32,A,20170102,276,111575,,,Karen Khachanov,R,198.0,RUS,20.6,122570,,WC,Mubarak Shannan Zayid,R,,QAT,21.7,6-1 6-3,3,R32,57.0,4.0,1.0,38.0,17.0,16.0,16.0,8.0,0.0,0.0,3.0,4.0,62.0,34.0,22.0,9.0,8.0,9.0,13.0,53.0,863.0,1277.0,5.0,atp_matches_2017.csv,2017-01-02,1796.608625173559,1491.0155746569249,1699.9361648925685,1487.545751499906
2017-0451,Doha,Hard,32,A,20170102,276,111575,,,Karen Khachanov,R,198.0,RUS,20.6,122570,,WC,Mubarak Shannan Zayid,R,,QAT,21.7,6-1 6-3,3,R32,57.0,4.0,1.0,38.0,17.0,16.0,16.0,8.0,0.0,0.0,3.0,4.0,62.0,34.0,22.0,9.0,8.0,9.0,13.0,53.0,863.0,1277.0,5.0,atp_matches_2017.csv,2017-01-02,1801.3093838044638,1486.31481602602,1707.2154016077632,1480.2665147847113
2017-M020,Brisbane,Hard,32,A,20170102,290,105777,7.0,,Grigor Dimitrov,R,191.0,BUL,25.6,103917,,,Nicolas Mahut,R,191.0,FRA,34.9,6-2 6-4,3,R16,65.0,8.0,0.0,46.0,27.0,25.0,12.0,9.0,3.0,3.0,4.0,3.0,52.0,37.0,27.0,4.0,9.0,0.0,3.0,17.0,2035.0,39.0,1102.0,atp_matches_2017.csv,2017-01-02,2019.6841889346965,1803.9016668894067,1967.4982971798102,1671.7784445096204
2017-M020,Brisbane,Hard,32,A,20170102,290,105777,7.0,,Grigor Dimitrov,R,191.0,BUL,25.6,103917,,,Nicolas Mahut,R,191.0,FRA,34.9,6-2 6-4,3,R16,65.0,8.0,0.0,46.0,27.0,25.0,12.0,9.0,3.0,3.0,4.0,3.0,52.0,37.0,27.0,4.0,9.0,0.0,3.0,17.0,2035.0,39.0,1102.0,atp_matches_2017.csv,2017-01-02,2057.1325997855024,1815.2045617660674,2001.029060573876,1689.038253160453
2017-M020,Brisbane,Hard,32,A,20170102,289,111442,,WC,Jordan Thompson,R,183.0,AUS,22.7,103970,8.0,,David Ferrer,R,175.0,ESP,34.7,4-6 7-5 7-5,3,R16,158.0,5.0,2.0,103.0,65.0,49.0,18.0,17.0,4.0,7.0,2.0,4.0,103.0,64.0,42.0,23.0,17.0,5.0,9.0,79.0,689.0,21.0,1785.0,atp_matches_2017.csv,2017-01-02,1474.1552716517388,1908.062172594772,1458.9302605612388,1871.0448182749626
2017-M020,Brisbane,Hard,32,A,20170102,289,111442,,WC,Jordan Thompson,R,183.0,AUS,22.7,103970,8.0,,David Ferrer,R,175.0,ESP,34.7,4-6 7-5 7-5,3,R16,158.0,5.0,2.0,103.0,65.0,49.0,18.0,17.0,4.0,7.0,2.0,4.0,103.0,64.0,42.0,23.0,17.0,5.0,9.0,79.0,689.0,21.0,1785.0,atp_matches_2017.csv,2017-01-02,1502.7353033164482,1878.4946441525883,1486.9170733274145,1841.7746669509825
2017-M020,Brisbane,Hard,32,A,20170102,288,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,111577,,Q,Jared Donaldson,R,188.0,USA,20.2,4-6 6-4 6-3,3,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0,5.0,4905.0,105.0,570.0,atp_matches_2017.csv,2017-01-02,2105.8793685055557,1726.9080983528847,2041.475630389265,1681.6908980107828
2017-M020,Brisbane,Hard,32,A,20170102,288,105453,3.0,,Kei Nishikori,R,178.0,JPN,27.0,111577,,Q,Jared Donaldson,R,188.0,USA,20.2,4-6 6-4 6-3,3,R16,143.0,3.0,3.0,107.0,66.0,47.0,18.0,15.0,4.0,8.0,6.0,4.0,95.0,54.0,32.0,20.0,14.0,8.0,13.0,5.0,4905.0,105.0,570.0,atp_matches_2017.csv,2017-01-02,2103.510751012409,1723.6626250024742,2041.0968577081803,1678.108853348983
2017-M020,Brisbane,Hard,32,A,20170102,287,106378,,,Kyle Edmund,R,188.0,GBR,21.9,106298,6.0,,Lucas Pouille,R,185.0,FRA,22.8,6-3 3-1 RET,3,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0,45.0,1001.0,15.0,2156.0,atp_matches_2017.csv,2017-01-02,1836.830943492611,2008.0125595684258,1753.6389909878308,1904.719881529194
2017-M020,Brisbane,Hard,32,A,20170102,287,106378,,,Kyle Edmund,R,188.0,GBR,21.9,106298,6.0,,Lucas Pouille,R,185.0,FRA,22.8,6-3 3-1 RET,3,R16,59.0,6.0,1.0,44.0,27.0,22.0,11.0,7.0,4.0,4.0,3.0,2.0,34.0,18.0,15.0,6.0,6.0,3.0,5.0,45.0,1001.0,15.0,2156.0,atp_matches_2017.csv,2017-01-02,1850.751265842909,1984.710847670737,1768.2635658965737,1882.170073374353
2017-M020,Brisbane,Hard,32,A,20170102,286,104527,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,104678,,,Viktor Troicki,R,193.0,SRB,30.8,7-6(5) 6-4,3,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0,4.0,5315.0,29.0,1385.0,atp_matches_2017.csv,2017-01-02,2016.658628316875,1866.130180725691,1974.0395472611176,1816.957751141489
2017-M020,Brisbane,Hard,32,A,20170102,286,104527,2.0,,Stan Wawrinka,R,183.0,SUI,31.7,104678,,,Viktor Troicki,R,193.0,SRB,30.8,7-6(5) 6-4,3,R16,89.0,7.0,2.0,64.0,41.0,33.0,15.0,11.0,0.0,1.0,5.0,7.0,71.0,46.0,39.0,8.0,11.0,3.0,5.0,4.0,5315.0,29.0,1385.0,atp_matches_2017.csv,2017-01-02,2022.3935454636933,1856.6587975100438,1977.1340465792573,1807.7359630449546
2017-M020,Brisbane,Hard,32,A,20170102,284,106043,,,Diego Schwartzman,R,170.0,ARG,24.3,105023,,,Sam Querrey,R,198.0,USA,29.2,6-2 6-4,3,R32,58.0,2.0,0.0,47.0,29.0,21.0,11.0,9.0,0.0,2.0,3.0,7.0,50.0,25.0,15.0,9.0,9.0,4.0,9.0,52.0,864.0,31.0,1355.0,atp_matches_2017.csv,2017-01-02,1840.5663088460335,1711.597527617793,1747.7560545488614,1642.9139432831
2017-M020,Brisbane,Hard,32,A,20170102,284,106043,,,Diego Schwartzman,R,170.0,ARG,24.3,105023,,,Sam Querrey,R,198.0,USA,29.2,6-2 6-4,3,R32,58.0,2.0,0.0,47.0,29.0,21.0,11.0,9.0,0.0,2.0,3.0,7.0,50.0,25.0,15.0,9.0,9.0,4.0,9.0,52.0,864.0,31.0,1355.0,atp_matches_2017.csv,2017-01-02,1844.0852196169083,1701.27820976987,1752.5642013339434,1631.600699958664
2017-M020,Brisbane,Hard,32,A,20170102,283,104999,,,Mischa Zverev,L,190.0,GER,29.3,200282,,Q,Alex De Minaur,R,183.0,AUS,17.8,6-3 6-3,3,R32,67.0,3.0,3.0,57.0,42.0,30.0,9.0,9.0,2.0,2.0,2.0,4.0,46.0,26.0,14.0,12.0,9.0,0.0,3.0,51.0,874.0,351.0,132.0,atp_matches_2017.csv,2017-01-02,1836.732849884906,1500.0,1794.2336880652317,1500.0
2017-M020,Brisbane,Hard,32,A,20170102,283,104999,,,Mischa Zverev,L,190.0,GER,29.3,200282,,Q,Alex De Minaur,R,183.0,AUS,17.8,6-3 6-3,3,R32,67.0,3.0,3.0,57.0,42.0,30.0,9.0,9.0,2.0,2.0,2.0,4.0,46.0,26.0,14.0,12.0,9.0,0.0,3.0,51.0,874.0,351.0,132.0,atp_matches_2017.csv,2017-01-02,1840.759244361029,1495.973605523877,1799.2027740410217,1495.03091402421
2017-M020,Brisbane,Hard,32,A,20170102,282,104745,5.0,,Rafael Nadal,L,185.0,ESP,30.5,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,6-3 6-3,3,R32,74.0,2.0,1.0,52.0,36.0,26.0,10.0,9.0,2.0,3.0,2.0,2.0,53.0,28.0,20.0,7.0,9.0,0.0,4.0,9.0,3300.0,62.0,760.0,atp_matches_2017.csv,2017-01-02,2008.5711103659712,1639.9383280989587,1914.854912844861,1637.7291478613672
2017-M020,Brisbane,Hard,32,A,20170102,282,104745,5.0,,Rafael Nadal,L,185.0,ESP,30.5,105238,,,Alexandr Dolgopolov,R,180.0,UKR,28.1,6-3 6-3,3,R32,74.0,2.0,1.0,52.0,36.0,26.0,10.0,9.0,2.0,3.0,2.0,2.0,53.0,28.0,20.0,7.0,9.0,0.0,4.0,9.0,3300.0,62.0,760.0,atp_matches_2017.csv,2017-01-02,2007.7564295781897,1636.5151325603156,1918.5030641798894,1632.332522004788
2017-M020,Brisbane,Hard,32,A,20170102,280,105032,,WC,Sam Groth,R,193.0,AUS,29.2,105732,,,Pierre Hugues Herbert,R,188.0,FRA,25.7,6-3 5-7 7-5,3,R32,130.0,20.0,5.0,106.0,59.0,45.0,28.0,17.0,8.0,10.0,9.0,5.0,87.0,48.0,33.0,24.0,16.0,4.0,7.0,180.0,320.0,78.0,698.0,atp_matches_2017.csv,2017-01-02,1562.8441949358273,1681.9606638900168,1461.008210806227,1602.9014547682966
2017-M020,Brisbane,Hard,32,A,20170102,280,105032,,WC,Sam Groth,R,193.0,AUS,29.2,105732,,,Pierre Hugues Herbert,R,188.0,FRA,25.7,6-3 5-7 7-5,3,R32,130.0,20.0,5.0,106.0,59.0,45.0,28.0,17.0,8.0,10.0,9.0,5.0,87.0,48.0,33.0,24.0,16.0,4.0,7.0,180.0,320.0,78.0,698.0,atp_matches_2017.csv,2017-01-02,1584.1244302243626,1660.6804286014815,1483.2020450769435,1580.7076204975801
2017-M020,Brisbane,Hard,32,A,20170102,279,103917,,,Nicolas Mahut,R,191.0,FRA,34.9,103565,,,Stephane Robert,R,185.0,FRA,36.6,4-6 6-3 6-4,3,R32,120.0,13.0,3.0,86.0,55.0,42.0,17.0,15.0,2.0,4.0,9.0,8.0,94.0,46.0,29.0,30.0,14.0,9.0,12.0,39.0,1102.0,54.0,854.0,atp_matches_2017.csv,2017-01-02,1796.7316507640423,1649.5250909184376,1666.8451622707096,1568.294237465314
2017-M020,Brisbane,Hard,32,A,20170102,279,103917,,,Nicolas Mahut,R,191.0,FRA,34.9,103565,,,Stephane Robert,R,185.0,FRA,36.6,4-6 6-3 6-4,3,R32,120.0,13.0,3.0,86.0,55.0,42.0,17.0,15.0,2.0,4.0,9.0,8.0,94.0,46.0,29.0,30.0,14.0,9.0,12.0,39.0,1102.0,54.0,854.0,atp_matches_2017.csv,2017-01-02,1806.331037808131,1639.925703874349,1678.4246495537977,1556.7147501822258
2017-0451,Doha,Hard,32,A,20170102,299,104918,1.0,,Andy Murray,R,191.0,GBR,29.6,104607,3.0,,Tomas Berdych,R,196.0,CZE,31.2,6-3 6-4,3,SF,101.0,10.0,1.0,67.0,42.0,33.0,11.0,10.0,2.0,3.0,2.0,1.0,63.0,34.0,23.0,12.0,9.0,2.0,5.0,1.0,12410.0,10.0,3060.0,atp_matches_2017.csv,2017-01-02,2468.5581278030227,1980.694206645265,2361.408426454945,1916.1960402122645
