tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2003-339,Adelaide,Hard,32,A,20021230,24,102179,,,Antony Dupuis,R,185.0,FRA,29.8,103018,2.0,,Max Mirnyi,R,196.0,BLR,25.4,7-6(3) 6-3,3,R16,76.0,8.0,1.0,60.0,36.0,32.0,17.0,11.0,0.0,0.0,9.0,1.0,62.0,37.0,31.0,13.0,10.0,2.0,3.0,70.0,566.0,43.0,810.0,atp_matches_2003.csv,2002-12-30,1499.0123750797477,1605.5117865765135,1523.6105243303812,1607.642926103468
2003-339,Adelaide,Hard,32,A,20021230,24,102179,,,Antony Dupuis,R,185.0,FRA,29.8,103018,2.0,,Max Mirnyi,R,196.0,BLR,25.4,7-6(3) 6-3,3,R16,76.0,8.0,1.0,60.0,36.0,32.0,17.0,11.0,0.0,0.0,9.0,1.0,62.0,37.0,31.0,13.0,10.0,2.0,3.0,70.0,566.0,43.0,810.0,atp_matches_2003.csv,2002-12-30,1519.7688067193292,1584.755354936932,1543.40662443088,1587.8468260029692
2003-339,Adelaide,Hard,32,A,20021230,10,103280,,,Martin Verkerk,R,196.0,NED,24.1,103722,,Q,Florent Serra,R,180.0,FRA,21.8,6-3 6-4,3,R32,75.0,10.0,2.0,50.0,35.0,30.0,8.0,10.0,0.0,1.0,2.0,2.0,76.0,48.0,31.0,11.0,9.0,2.0,5.0,86.0,468.0,202.0,164.0,atp_matches_2003.csv,2002-12-30,1575.5298457221827,1500.0,1555.8229768499045,1500.0
2003-339,Adelaide,Hard,32,A,20021230,10,103280,,,Martin Verkerk,R,196.0,NED,24.1,103722,,Q,Florent Serra,R,180.0,FRA,21.8,6-3 6-4,3,R32,75.0,10.0,2.0,50.0,35.0,30.0,8.0,10.0,0.0,1.0,2.0,2.0,76.0,48.0,31.0,11.0,9.0,2.0,5.0,86.0,468.0,202.0,164.0,atp_matches_2003.csv,2002-12-30,1549.5665115079212,1487.4245004795391,1526.123292074622,1486.5488476420514
2003-339,Adelaide,Hard,32,A,20021230,1,102644,,,Franco Squillari,L,183.0,ARG,27.3,101965,1.0,,Wayne Ferreira,R,185.0,RSA,31.2,7-6(4) 6-2,3,R32,90.0,5.0,4.0,71.0,33.0,25.0,21.0,10.0,6.0,7.0,6.0,2.0,81.0,41.0,29.0,17.0,10.0,4.0,7.0,79.0,494.0,39.0,875.0,atp_matches_2003.csv,2002-12-30,1599.412660776704,1755.2225179899497,1503.521751467082,1676.9524157001283
2003-339,Adelaide,Hard,32,A,20021230,1,102644,,,Franco Squillari,L,183.0,ARG,27.3,101965,1.0,,Wayne Ferreira,R,185.0,RSA,31.2,7-6(4) 6-2,3,R32,90.0,5.0,4.0,71.0,33.0,25.0,21.0,10.0,6.0,7.0,6.0,2.0,81.0,41.0,29.0,17.0,10.0,4.0,7.0,79.0,494.0,39.0,875.0,atp_matches_2003.csv,2002-12-30,1611.6137492984076,1732.4924430698272,1517.6813026633054,1653.568944162102
2003-339,Adelaide,Hard,32,A,20021230,2,101990,,,Richard Krajicek,R,196.0,NED,31.0,102401,,WC,Scott Draper,L,178.0,AUS,28.5,7-6(4) 6-4,3,R32,60.0,16.0,3.0,66.0,40.0,32.0,20.0,11.0,3.0,3.0,3.0,0.0,56.0,39.0,32.0,12.0,11.0,1.0,2.0,112.0,350.0,137.0,279.0,atp_matches_2003.csv,2002-12-30,1731.7871049770506,1460.2737810449516,1665.0479413516712,1479.432548116732
2003-339,Adelaide,Hard,32,A,20021230,2,101990,,,Richard Krajicek,R,196.0,NED,31.0,102401,,WC,Scott Draper,L,178.0,AUS,28.5,7-6(4) 6-4,3,R32,60.0,16.0,3.0,66.0,40.0,32.0,20.0,11.0,3.0,3.0,3.0,0.0,56.0,39.0,32.0,12.0,11.0,1.0,2.0,112.0,350.0,137.0,279.0,atp_matches_2003.csv,2002-12-30,1708.2244753142659,1454.7306501000703,1648.6278706070136,1471.2504452926948
2003-339,Adelaide,Hard,32,A,20021230,25,101990,,,Richard Krajicek,R,196.0,NED,31.0,103408,,,Brian Vahaly,R,183.0,USA,23.4,6-1 6-3,3,QF,57.0,12.0,3.0,53.0,25.0,23.0,12.0,8.0,1.0,1.0,0.0,2.0,48.0,36.0,20.0,5.0,8.0,2.0,6.0,112.0,350.0,102.0,386.0,atp_matches_2003.csv,2002-12-30,1711.4144288168598,1555.9713721371547,1643.3505862666025,1552.1065060227008
2003-339,Adelaide,Hard,32,A,20021230,25,101990,,,Richard Krajicek,R,196.0,NED,31.0,103408,,,Brian Vahaly,R,183.0,USA,23.4,6-1 6-3,3,QF,57.0,12.0,3.0,53.0,25.0,23.0,12.0,8.0,1.0,1.0,0.0,2.0,48.0,36.0,20.0,5.0,8.0,2.0,6.0,112.0,350.0,102.0,386.0,atp_matches_2003.csv,2002-12-30,1737.330235921932,1563.4126855566915,1673.2300441757084,1553.6451426695899
