player_name,rating,last_match
Quentin Halys,1625.7653920329938,2024-11-04
Lorenzo Sonego,1625.7464071204045,2024-11-04
Nicolas Jarry,1625.5643159706535,2024-10-28
Dominic Stricker,1625.479408331915,2024-10-21
Zizou Bergs,1624.822391421551,2024-11-04
Taylor Dent,1624.509148399505,2010-10-25
Juncheng Shang,1624.2630867615565,2024-12-18
Jose Acasuso,1623.9448199085832,2011-02-14
Bu Yunchaokete,1623.4265368494953,2024-11-04
Sebastian Baez,1623.1345420725079,2024-11-21
Simone Bolelli,1623.0221603565085,2019-05-27
Andrey Kuznetsov,1622.9477671926497,2023-08-21
Benjamin Bonzi,1621.9103051290251,2024-11-04
Jarkko Nieminen,1619.921582322661,2016-07-15
Thomas Johansson,1619.7556442980188,2009-03-06
Mohammad Ghareeb,1619.6225009119512,2017-02-03
Stan Wawrinka,1619.3520684904197,2024-11-04
John Isner,1619.0281077498516,2023-08-28
Alexander Bublik,1617.9280937921824,2024-10-28
Frederico Gil,1617.9227327631122,2013-04-05
Laslo Djere,1617.026716497218,2024-11-04
Jared Donaldson,1616.4310538021552,2019-03-04
Febi Widhiyanto,1616.3124682104965,2006-04-07
Thiago Seyboth Wild,1616.1343538820063,2024-10-21
Younes El Aynaoui,1616.0214301712829,2010-01-04
Fabrice Santoro,1615.4041758791616,2010-01-18
Ramon Delgado,1615.240775442682,2010-06-21
Yevgeny Kafelnikov,1615.033888110648,2003-10-20
James Blake,1613.1187535242589,2013-08-26
Nikolay Davydenko,1612.100580317363,2014-05-26
Andy Murray,1611.0776911570201,2024-06-17
Ryan Sweeting,1610.4875166955221,2013-02-11
John Millman,1609.7534403343122,2023-01-16
Yibing Wu,1609.15153063018,2024-10-02
Rinky Hijikata,1608.525177682448,2024-10-02
Alexander Shevchenko,1608.2721805440194,2024-11-04
Kamil Majchrzak,1607.5583125925446,2024-09-13
Ilya Ivashka,1606.0069252803812,2023-08-28
Pierre Hugues Herbert,1605.8088073777187,2024-11-04
Mariano Puerta,1603.8917028964922,2005-11-14
Xavier Malisse,1602.9641092849151,2013-08-26
Robin Haase,1602.6981350014678,2024-07-29
Mackenzie Mcdonald,1602.3955850631442,2024-09-13
Corentin Moutet,1600.2119416689657,2024-11-04
