date,surface,winner_id,loser_id,winner_name,loser_name,predicted_win_prob,actual_winner,r_w_global_before,r_l_global_before,r_w_global_after,r_l_global_after,r_w_surface_before,r_l_surface_before,brier,year
2000-01-03,Hard,103720,103162,Lleyton Hewitt,Dejan Petrovic,0.544871027446134,1,1531.263693206478,1500.0,1545.8278203282016,1485.4358728782763,1531.263693206478,1500.0,0.2071423816579377,2000
2000-01-03,Hard,103252,102872,Alberto Martin,James Sekulov,0.4759817173204222,1,1483.2975328274754,1500.0,1500.0661178732219,1483.2314149542535,1483.2975328274754,1500.0,0.2745951605824539,2000
2000-01-03,Hard,102796,101735,Magnus Norman,Richard Fromberg,0.4790569719319589,1,1501.4387739660467,1516.0,1518.108950864224,1499.3298231018227,1501.4387739660467,1516.0,0.2713816384926999,2000
2000-01-03,Hard,103206,102998,Sebastien Grosjean,Jan Michael Gambill,0.4779992958087159,1,1500.7024671725246,1516.0,1517.4064897066457,1499.2959774658789,1500.7024671725246,1516.0,0.2724847351761965,2000
2000-01-03,Hard,102358,103819,Thomas Enqvist,Roger Federer,0.5438680569777848,1,1546.5612260339533,1516.0,1561.1574482106641,1501.4037778232891,1546.5612260339533,1516.0,0.20805634944522133,2000
2000-01-03,Hard,102450,102607,Tim Henman,Juan Balcells,0.5000486896311482,1,1500.0338330211207,1500.0,1516.032274952924,1484.0015580681968,1500.0338330211207,1500.0,0.24995131273953194,2000
2000-01-03,Hard,103444,101833,Jean Rene Lisnard,Michael Tebbutt,0.4758845541958576,1,1483.2298601853572,1500.0,1500.0015544510898,1483.2283057342675,1483.2298601853572,1500.0,0.2746970005304749,2000
2000-01-03,Hard,101792,103344,Slava Dosedel,Ivan Ljubicic,0.4770391073008154,1,1484.0339081301693,1500.0,1500.768656696543,1483.2652514336262,1484.0339081301693,1500.0,0.27348809529272816,2000
2000-01-03,Hard,102765,103385,Nicolas Escude,Paul Baccanello,0.5240181843144569,1,1516.7023986633528,1500.0,1531.9338167652902,1484.7685818980626,1516.7023986633528,1500.0,0.22655868886330632,2000
2000-01-03,Hard,101727,103103,Jason Stoltenberg,Dominik Hrbaty,0.5020705503431234,1,1501.4387739660467,1500.0,1517.3725163550669,1484.0662576109798,1501.4387739660467,1500.0,0.2479337368356,2000
2000-01-03,Hard,102652,102834,Christian Vinck,Paul Goldstein,0.4759817173204222,1,1483.2975328274754,1500.0,1500.0661178732219,1483.2314149542535,1483.2975328274754,1500.0,0.2745951605824539,2000
2000-01-03,Hard,103162,101902,Dejan Petrovic,Stephane Huet,0.47905280425730384,1,1485.4358728782763,1500.0,1502.1061831420425,1483.3296897362338,1485.4358728782763,1500.0,0.2713859807521789,2000
2000-01-03,Hard,103720,101185,Lleyton Hewitt,Mark Woodforde,0.5655716940264897,1,1545.8278203282016,1500.0,1559.729526119354,1486.0982942088476,1545.8278203282016,1500.0,0.18872795303101392,2000
2000-01-03,Hard,103252,102434,Alberto Martin,Vincent Spadea,0.5000951512671395,1,1500.0661178732219,1500.0,1516.0630730326734,1484.0030448405485,1500.0661178732219,1500.0,0.24990485778662408,2000
2000-01-03,Hard,102872,101150,James Sekulov,Gianluca Pozzi,0.47588678648374483,1,1483.2314149542535,1500.0,1500.0030377867738,1483.2283771674797,1483.2314149542535,1500.0,0.27469466058233566,2000
2000-01-03,Hard,102796,102401,Magnus Norman,Scott Draper,0.5260373011515748,1,1518.108950864224,1500.0,1533.2757572273736,1484.8331936368504,1518.108950864224,1500.0,0.22464063989968303,2000
2000-01-03,Hard,102783,101888,Rainer Schuettler,Daniel Vacek,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,102548,102456,Juan Antonio Marin,Felix Mantilla,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,103017,102854,Nicolas Kiefer,Sjeng Schalken,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0,0.25,2000
2000-01-03,Hard,210013,103294,Martin Damm Sr,Christophe Rochus,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,101086,104156,Ronald Agenor,Sunil Kumar,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,102259,102689,Jerome Golmard,Martin Spottl,0.5230095872975623,1,1516.0,1500.0,1531.263693206478,1484.736306793522,1516.0,1500.0,0.22751985381004183,2000
2000-01-03,Hard,102966,102466,Fredrik Jonsson,Jan Kroslak,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,101969,102198,Orlin Stanoytchev,Paul Kilderry,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,102965,101647,Jamie Delgado,Byron Black,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,103082,102133,Markus Hantschk,Laurence Tieleman,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0,0.2735390284051665,2000
2000-01-03,Hard,102494,102880,Tomas Behrend,Alexander Popp,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,103181,102982,Jiri Vanek,Yaoki Ishii,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,102538,102087,Tuomas Ketola,Oleg Ogorodov,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,103714,101826,Andreas Vinciguerra,Alex Lopez Moron,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,102106,102437,Davide Sanguinetti,Adrian Voinea,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,102233,102369,Leander Paes,Julien Boutter,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,102455,102720,Lorenzo Manta,Tomas Zib,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,101611,103544,Cedric Pioline,Andy Ram,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-03,Hard,210013,101086,Martin Damm Sr,Ronald Agenor,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,102259,102966,Jerome Golmard,Fredrik Jonsson,0.5219520991413947,1,1531.263693206478,1516.0,1546.5612260339533,1500.7024671725246,1531.263693206478,1516.0,0.22852979551531888,2000
2000-01-03,Hard,102965,101969,Jamie Delgado,Orlin Stanoytchev,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,103082,102494,Markus Hantschk,Tomas Behrend,0.4780479008586052,1,1500.736306793522,1516.0,1517.4387739660467,1499.2975328274754,1500.736306793522,1516.0,0.27243399379810845,2000
2000-01-03,Hard,102538,103181,Tuomas Ketola,Jiri Vanek,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,102106,103714,Davide Sanguinetti,Andreas Vinciguerra,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,101611,102233,Cedric Pioline,Leander Paes,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,210013,102455,Martin Damm Sr,Lorenzo Manta,0.5230095872975623,1,1532.0,1516.0,1547.263693206478,1500.736306793522,1532.0,1516.0,0.22751985381004183,2000
2000-01-03,Hard,102259,102965,Jerome Golmard,Jamie Delgado,0.5209430280680412,1,1546.5612260339533,1532.0,1561.891049135776,1516.6701768981773,1546.5612260339533,1532.0,0.2294955823566176,2000
2000-01-03,Hard,103082,102538,Markus Hantschk,Tuomas Ketola,0.4790569719319589,1,1517.4387739660467,1532.0,1534.108950864224,1515.3298231018227,1517.4387739660467,1532.0,0.2713816384926999,2000
2000-01-03,Hard,101611,102106,Cedric Pioline,Davide Sanguinetti,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0,0.25,2000
2000-01-03,Hard,102259,210013,Jerome Golmard,Martin Damm Sr,0.5210380289113095,1,1561.891049135776,1547.263693206478,1577.2178322106142,1531.9369101316397,1561.891049135776,1547.263693206478,0.22940456974916362,2000
2000-01-03,Hard,103082,101611,Markus Hantschk,Cedric Pioline,0.480019818523139,1,1534.108950864224,1548.0,1550.7483166714835,1531.3606341927405,1534.108950864224,1548.0,0.2703793891287093,2000
2000-01-03,Hard,102455,103420,Lorenzo Manta,Michal Tabara,0.5010596290677872,1,1500.736306793522,1500.0,1516.7023986633528,1484.0339081301693,1500.736306793522,1500.0,0.24894149374597407,2000
2000-01-03,Hard,103018,102548,Max Mirnyi,Juan Antonio Marin,0.5,1,1516.0,1516.0,1532.0,1500.0,1516.0,1516.0,0.25,2000
2000-01-03,Hard,103720,102358,Lleyton Hewitt,Thomas Enqvist,0.4979450664942028,1,1559.729526119354,1561.1574482106641,1575.7952839915395,1545.0916903384787,1559.729526119354,1561.1574482106641,0.25205915625751046,2000
2000-01-03,Hard,102148,102567,Fabrice Santoro,George Bastl,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0,0.25,2000
2000-01-03,Hard,101962,102025,Younes El Aynaoui,Mikael Tillstrom,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0,0.25,2000
2000-01-03,Hard,102783,103018,Rainer Schuettler,Max Mirnyi,0.5,1,1532.0,1532.0,1548.0,1516.0,1532.0,1532.0,0.25,2000
2000-01-03,Hard,102148,103017,Fabrice Santoro,Nicolas Kiefer,0.5,1,1548.0,1548.0,1564.0,1532.0,1548.0,1548.0,0.25,2000
2000-01-03,Hard,102783,101962,Rainer Schuettler,Younes El Aynaoui,0.5,1,1548.0,1548.0,1564.0,1532.0,1548.0,1548.0,0.25,2000
2000-01-03,Hard,102148,102783,Fabrice Santoro,Rainer Schuettler,0.5,1,1564.0,1564.0,1580.0,1548.0,1564.0,1564.0,0.25,2000
2000-01-03,Hard,103420,102338,Michal Tabara,Yevgeny Kafelnikov,0.4770391073008154,1,1484.0339081301693,1500.0,1500.768656696543,1483.2652514336262,1484.0339081301693,1500.0,0.27348809529272816,2000
2000-01-10,Hard,103720,102437,Lleyton Hewitt,Adrian Voinea,0.6291136240437022,1,1575.7952839915395,1484.0,1587.663648022141,1472.1316359693985,1575.7952839915395,1484.0,0.13755670386999627,2000
2000-01-10,Hard,101792,101185,Slava Dosedel,Mark Woodforde,0.521099810429659,1,1500.768656696543,1486.0982942088476,1516.093462762794,1470.7734881425968,1500.768656696543,1486.0982942088476,0.2293453915705085,2000
2000-01-10,Hard,102776,102610,Andrew Ilie,Albert Costa,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0,0.2735390284051665,2000
2000-01-10,Hard,102344,210013,Karol Kucera,Martin Damm Sr,0.45416810646832323,1,1500.0,1531.9369101316397,1517.4666205930137,1514.470289538626,1500.0,1531.9369101316397,0.2979324559963758,2000
2000-01-10,Hard,103096,103151,Arnaud Clement,Mariano Zabaleta,0.4769904127024377,1,1484.0,1500.0,1500.736306793522,1483.263693206478,1484.0,1500.0,0.2735390284051665,2000
2000-01-10,Hard,103103,102061,Dominik Hrbaty,Kevin Ullyett,0.4770855639695747,1,1484.0662576109798,1500.0,1500.7995195639535,1483.2667380470264,1484.0662576109798,1500.0,0.2734395074090178,2000
2000-01-10,Hard,101774,102446,Todd Martin,Andrei Medvedev,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-10,Hard,102271,102456,Hicham Arazi,Felix Mantilla,0.5,1,1484.0,1484.0,1500.0,1468.0,1484.0,1484.0,0.25,2000
2000-01-10,Hard,101727,102831,Jason Stoltenberg,Jacobo Diaz,0.5478797505939773,1,1517.3725163550669,1484.0,1531.8403643360596,1469.5321520190073,1517.3725163550669,1484.0,0.20441271992296417,2000
2000-01-10,Hard,102905,101897,Stefan Koubek,Fernando Meligeni,0.5,1,1500.0,1500.0,1516.0,1484.0,1500.0,1500.0,0.25,2000
2000-01-10,Hard,103344,103498,Ivan Ljubicic,Marat Safin,0.4759353680665447,1,1483.2652514336262,1500.0,1500.0353196554968,1483.2299317781294,1483.2652514336262,1500.0,0.274643738443548,2000
2000-01-10,Hard,102374,101611,Alex Corretja,Cedric Pioline,0.454990590285968,1,1500.0,1531.3606341927405,1517.440301110849,1513.9203330818914,1500.0,1531.3606341927405,0.2970352566768376,2000
2000-01-10,Hard,102437,102434,Adrian Voinea,Vincent Spadea,0.48292231484667675,1,1472.1316359693985,1484.0030448405485,1488.678121894305,1467.456558915642,1472.1316359693985,1484.0030448405485,0.26736933248351924,2000
2000-01-10,Hard,101888,103444,Daniel Vacek,Jean Rene Lisnard,0.4999977629650581,1,1500.0,1500.0015544510898,1516.0000715851181,1484.0014828659716,1500.0,1500.0015544510898,0.2500022370399463,2000
2000-01-10,Hard,102374,101792,Alex Corretja,Slava Dosedel,0.5019382464804234,1,1517.440301110849,1516.093462762794,1533.3782772234756,1500.1554866501674,1517.440301110849,1516.093462762794,0.24806551031899549,2000
2000-01-10,Hard,101727,103103,Jason Stoltenberg,Dominik Hrbaty,0.5445528873391753,1,1531.8403643360596,1500.7995195639535,1546.414671941206,1486.225211958807,1531.8403643360596,1500.7995195639535,0.20743207243108197,2000
2000-01-10,Hard,101727,102839,Jason Stoltenberg,Nicolas Lapentti,0.5664015317546119,1,1546.414671941206,1500.0,1560.2898229250584,1486.1248490161477,1546.414671941206,1500.0,0.1880076316647468,2000
2000-01-10,Hard,103720,102374,Lleyton Hewitt,Alex Corretja,0.5774933434272322,1,1587.663648022141,1533.3782772234756,1601.1838610324694,1519.8580642131471,1587.663648022141,1533.3782772234756,0.17851187484829872,2000
2000-01-10,Hard,101727,103344,Jason Stoltenberg,Ivan Ljubicic,0.585854184257321,1,1560.2898229250584,1500.0353196554968,1573.542489028824,1486.782653551731,1560.2898229250584,1500.0353196554968,0.17151675669716898,2000
2000-01-10,Hard,103720,101727,Lleyton Hewitt,Jason Stoltenberg,0.5396954163301447,1,1601.1838610324694,1573.542489028824,1615.9136077099047,1558.8127423513888,1601.1838610324694,1573.542489028824,0.2118803097474788,2000
2000-01-10,Hard,103344,101774,Ivan Ljubicic,Todd Martin,0.45805169593506,1,1486.782653551731,1516.0,1504.124999281809,1498.657654269922,1486.782653551731,1516.0,0.29370796427886464,2000
2000-01-10,Hard,102344,103096,Karol Kucera,Arnaud Clement,0.524058264570734,1,1517.4666205930137,1500.736306793522,1532.6967561267502,1485.5061712597856,1517.4666205930137,1500.736306793522,0.2265205355234214,2000
2000-01-10,Hard,101792,102776,Slava Dosedel,Andrew Ilie,0.49916413340129,1,1500.1554866501674,1500.736306793522,1516.1822343813262,1484.7095590623633,1500.1554866501674,1500.736306793522,0.25083656527168086,2000
2000-01-10,Hard,102374,102271,Alex Corretja,Hicham Arazi,0.5285469724720406,1,1519.8580642131471,1500.0,1534.9445610940418,1484.9135031191054,1519.8580642131471,1500.0,0.2222679571652788,2000
2000-01-10,Hard,102437,101888,Adrian Voinea,Daniel Vacek,0.46076140518959974,1,1488.678121894305,1516.0000715851181,1505.9337569282377,1498.7444365511853,1488.678121894305,1516.0000715851181,0.29077826213309504,2000
2000-01-10,Hard,103720,101532,Lleyton Hewitt,Francisco Clavet,0.660887644556492,1,1615.9136077099047,1500.0,1626.765203084097,1489.1484046258076,1615.9136077099047,1500.0,0.11499718961444413,2000
2000-01-10,Hard,102839,101962,Nicolas Lapentti,Younes El Aynaoui,0.4343613643506355,1,1486.1248490161477,1532.0,1504.2252853569273,1513.8995636592203,1486.1248490161477,1532.0,0.3199470661392746,2000
2000-01-10,Hard,101532,102856,Francisco Clavet,Gustavo Kuerten,0.48438837509226496,1,1489.1484046258076,1500.0,1505.6479766228551,1483.5004280029525,1489.1484046258076,1500.0,0.26585534773999486,2000
2000-01-10,Hard,103720,103206,Lleyton Hewitt,Sebastien Grosjean,0.6523804700990321,1,1626.765203084097,1517.4064897066457,1637.889028040928,1506.2826647498148,1626.765203084097,1517.4064897066457,0.12083933756856992,2000
2000-01-10,Hard,102839,102905,Nicolas Lapentti,Stefan Koubek,0.4830613080086318,1,1504.2252853569273,1516.0,1520.7673235006512,1499.4579618562761,1504.2252853569273,1516.0,0.26722561127774663,2000
2000-01-10,Hard,103344,102344,Ivan Ljubicic,Karol Kucera,0.45897437738849267,1,1504.124999281809,1532.6967561267502,1521.4378192053773,1515.383936203182,1504.124999281809,1532.6967561267502,0.29270872432216916,2000
2000-01-10,Hard,103163,101543,Tommy Haas,Jeff Tarango,0.5230095872975623,1,1500.0,1484.0,1515.263693206478,1468.736306793522,1500.0,1484.0,0.22751985381004183,2000
2000-01-10,Hard,103292,102854,Gaston Gaudio,Sjeng Schalken,0.4769904127024377,1,1500.0,1516.0,1516.736306793522,1499.263693206478,1500.0,1516.0,0.2735390284051665,2000
2000-01-10,Hard,102796,102021,Magnus Norman,Michael Chang,0.5477417762236882,1,1533.2757572273736,1500.0,1547.7480203882155,1485.527736839158,1533.2757572273736,1500.0,0.20453750097330448,2000
2000-01-10,Hard,102796,103292,Magnus Norman,Gaston Gaudio,0.5445112967571994,1,1547.7480203882155,1516.736306793522,1562.3236588919851,1502.1606682897525,1547.7480203882155,1516.736306793522,0.20746995878180802,2000
2000-01-10,Hard,102021,102607,Michael Chang,Juan Balcells,0.502196333677902,1,1485.527736839158,1484.0015580681968,1501.4574541614652,1468.0718407458896,1485.527736839158,1484.0015580681968,0.24780849020372273,2000
2000-01-10,Hard,102796,101820,Magnus Norman,Marc Rosset,0.5887411567790611,1,1562.3236588919851,1500.0,1575.4839418750553,1486.8397170169299,1562.3236588919851,1500.0,0.16913383612742477,2000
2000-01-10,Hard,102021,101320,Michael Chang,Magnus Gustafsson,0.5020974328382944,1,1501.4574541614652,1500.0,1517.3903363106397,1484.0671178508255,1501.4574541614652,1500.0,0.2479069663862167,2000
2000-01-10,Hard,102607,103507,Juan Balcells,Juan Carlos Ferrero,0.4541805942083006,1,1468.0718407458896,1500.0,1485.538061731224,1482.5337790146657,1468.0718407458896,1500.0,0.29791882373880385,2000
2000-01-10,Hard,102796,102998,Magnus Norman,Jan Michael Gambill,0.6079189951081213,1,1575.4839418750553,1499.2959774658789,1588.0305340315954,1486.7493853093388,1575.4839418750553,1499.2959774658789,0.1537275143970254,2000
2000-01-10,Hard,101820,102770,Marc Rosset,John Van Lottum,0.4810698829446541,1,1486.8397170169299,1500.0,1503.445480762701,1483.3942362542289,1486.8397170169299,1500.0,0.2692884663870751,2000
2000-01-10,Hard,103292,102562,Gaston Gaudio,Jiri Novak,0.5261115261043912,1,1502.1606682897525,1484.0,1517.3250994544119,1468.8355688353406,1502.1606682897525,1484.0,0.22457028569110915,2000
2000-01-10,Hard,102854,102494,Sjeng Schalken,Tomas Behrend,0.49995130087086564,1,1499.263693206478,1499.2975328274754,1515.26525157861,1483.2959744553432,1499.263693206478,1499.2975328274754,0.2500487015007396,2000
2000-01-10,Hard,102021,102103,Michael Chang,Michael Sell,0.5250058264740455,1,1517.3903363106397,1500.0,1532.5901498634703,1484.8001864471694,1517.3903363106397,1500.0,0.2256194648836046,2000
2000-01-10,Hard,103507,103252,Juan Carlos Ferrero,Alberto Martin,0.45189670680687277,1,1482.5337790146657,1516.0630730326734,1500.0730843968458,1498.5237676504933,1482.5337790146657,1516.0630730326734,0.30041722000915116,2000
2000-01-10,Hard,102607,103163,Juan Balcells,Tommy Haas,0.457325453268312,1,1485.538061731224,1515.263693206478,1502.903647226638,1497.8981077110639,1485.538061731224,1515.263693206478,0.29449566367044305,2000
2000-01-10,Hard,102796,102239,Magnus Norman,Francisco Costa,0.6240429970368278,1,1588.0305340315954,1500.0,1600.0611581264168,1487.9693759051786,1588.0305340315954,1500.0,0.1413436680770507,2000
2000-01-10,Hard,101320,102563,Magnus Gustafsson,Thomas Johansson,0.4770867993542468,1,1484.0671178508255,1500.0,1500.8003402714896,1483.266777579336,1484.0671178508255,1500.0,0.27343821540958574,2000
2000-01-10,Hard,102770,102162,John Van Lottum,Chris Woodruff,0.47612056546089043,1,1483.3942362542289,1500.0,1500.1583781594804,1483.2358580947484,1483.3942362542289,1500.0,0.2744496619330172,2000
2000-01-10,Hard,102607,102644,Juan Balcells,Franco Squillari,0.5041785869772424,1,1502.903647226638,1500.0,1518.7699324433663,1484.1337147832717,1502.903647226638,1500.0,0.245838873611884,2000
2000-01-10,Hard,103252,102238,Alberto Martin,Alberto Berasategui,0.49787554365848596,1,1498.5237676504933,1500.0,1514.5917502534217,1483.9320173970716,1498.5237676504933,1500.0,0.252128969656261,2000
2000-01-10,Hard,103507,103819,Juan Carlos Ferrero,Roger Federer,0.49808498758449143,1,1500.0730843968458,1501.4037778232891,1516.1343647941421,1485.3424974259929,1500.0730843968458,1501.4037778232891,0.2519186796880601,2000
2000-01-10,Hard,102998,101735,Jan Michael Gambill,Richard Fromberg,0.48190320301379824,1,1486.7493853093388,1499.3298231018227,1503.3284828128972,1482.7507255982644,1486.7493853093388,1499.3298231018227,0.2684242910473616,2000
