tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2014-339,Brisbane,Hard,28,A,20131229,9,105657,,Q,Marius Copil,R,191.0,ROU,23.2,105216,,Q,Yuichi Sugita,R,173.0,JPN,25.2,7-6(5) 6-7(2) 7-6(7),3,R32,174.0,31.0,2.0,128.0,75.0,66.0,27.0,18.0,2.0,2.0,4.0,1.0,126.0,90.0,71.0,22.0,18.0,8.0,8.0,147.0,369.0,170.0,310.0,atp_matches_2014.csv,2013-12-29,1538.809691342872,1563.3418802992546,1531.384320098323,1539.3831493062182
2014-339,Brisbane,Hard,28,A,20131229,9,105657,,Q,Marius Copil,R,191.0,ROU,23.2,105216,,Q,Yuichi Sugita,R,173.0,JPN,25.2,7-6(5) 6-7(2) 7-6(7),3,R32,174.0,31.0,2.0,128.0,75.0,66.0,27.0,18.0,2.0,2.0,4.0,1.0,126.0,90.0,71.0,22.0,18.0,8.0,8.0,147.0,369.0,170.0,310.0,atp_matches_2014.csv,2013-12-29,1577.7861263008465,1546.2140050314333,1566.4810692301317,1523.014854675646
2014-339,Brisbane,Hard,28,A,20131229,26,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0,5-7 6-4 6-3,3,SF,150.0,7.0,3.0,102.0,45.0,40.0,30.0,16.0,6.0,7.0,12.0,6.0,101.0,61.0,44.0,20.0,15.0,10.0,12.0,60.0,780.0,17.0,1915.0,atp_matches_2014.csv,2013-12-29,1830.1949142620158,1910.6264158230692,1725.0126672852084,1882.7132327341885
2014-339,Brisbane,Hard,28,A,20131229,26,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0,5-7 6-4 6-3,3,SF,150.0,7.0,3.0,102.0,45.0,40.0,30.0,16.0,6.0,7.0,12.0,6.0,101.0,61.0,44.0,20.0,15.0,10.0,12.0,60.0,780.0,17.0,1915.0,atp_matches_2014.csv,2013-12-29,1900.6940686421804,1914.422571229402,1806.2517617552182,1884.733009635173
2014-339,Brisbane,Hard,28,A,20131229,25,103819,1.0,,Roger Federer,R,185.0,SUI,32.3,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,6-3 6-7(3) 6-3,3,SF,116.0,20.0,3.0,95.0,56.0,46.0,23.0,16.0,1.0,1.0,4.0,7.0,86.0,43.0,36.0,21.0,14.0,1.0,3.0,6.0,4205.0,34.0,1175.0,atp_matches_2014.csv,2013-12-29,2163.0634453422076,1731.3395341018954,2149.9844885246816,1692.669531822599
2014-339,Brisbane,Hard,28,A,20131229,25,103819,1.0,,Roger Federer,R,185.0,SUI,32.3,104871,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,6-3 6-7(3) 6-3,3,SF,116.0,20.0,3.0,95.0,56.0,46.0,23.0,16.0,1.0,1.0,4.0,7.0,86.0,43.0,36.0,21.0,14.0,1.0,3.0,6.0,4205.0,34.0,1175.0,atp_matches_2014.csv,2013-12-29,2128.016838202678,1783.6314244888888,2110.7015341270985,1738.7953982623153
2014-339,Brisbane,Hard,28,A,20131229,24,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0,105227,,,Marin Cilic,R,198.0,CRO,25.2,6-4 5-7 6-2,3,QF,157.0,6.0,2.0,105.0,58.0,45.0,26.0,15.0,14.0,15.0,14.0,11.0,119.0,52.0,38.0,33.0,15.0,12.0,15.0,17.0,1915.0,37.0,1130.0,atp_matches_2014.csv,2013-12-29,1890.987188913485,1934.9533187893524,1859.9116571500394,1929.8193425090415
2014-339,Brisbane,Hard,28,A,20131229,24,105453,2.0,,Kei Nishikori,R,178.0,JPN,24.0,105227,,,Marin Cilic,R,198.0,CRO,25.2,6-4 5-7 6-2,3,QF,157.0,6.0,2.0,105.0,58.0,45.0,26.0,15.0,14.0,15.0,14.0,11.0,119.0,52.0,38.0,33.0,15.0,12.0,15.0,17.0,1915.0,37.0,1130.0,atp_matches_2014.csv,2013-12-29,1897.7906791533655,1949.2931041696258,1865.1790568207941,1939.2622303039805
2014-339,Brisbane,Hard,28,A,20131229,23,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8,105657,,Q,Marius Copil,R,191.0,ROU,23.2,6-4 6-2,3,QF,72.0,5.0,1.0,48.0,25.0,21.0,15.0,9.0,2.0,3.0,7.0,3.0,59.0,30.0,22.0,9.0,9.0,1.0,5.0,60.0,780.0,147.0,369.0,atp_matches_2014.csv,2013-12-29,1849.8341411716,1555.9375666106932,1747.8142428693575,1547.7526147288954
2014-339,Brisbane,Hard,28,A,20131229,23,103720,,,Lleyton Hewitt,R,180.0,AUS,32.8,105657,,Q,Marius Copil,R,191.0,ROU,23.2,6-4 6-2,3,QF,72.0,5.0,1.0,48.0,25.0,21.0,15.0,9.0,2.0,3.0,7.0,3.0,59.0,30.0,22.0,9.0,9.0,1.0,5.0,60.0,780.0,147.0,369.0,atp_matches_2014.csv,2013-12-29,1944.7985110404672,1592.3361653023521,1856.669763127284,1580.489754252455
