tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2005-451,Doha,Hard,32,A,20050103,6,102703,,,Hyung Taik Lee,R,180.0,KOR,29.0,104660,,Q,Sergiy Stakhovsky,R,193.0,UKR,18.9,6-0 6-1,3,R32,,3.0,1.0,32.0,30.0,27.0,1.0,7.0,0.0,0.0,2.0,3.0,30.0,25.0,7.0,2.0,6.0,1.0,6.0,59.0,681.0,335.0,94.0,atp_matches_2005.csv,2005-01-03,1671.6855178696117,1486.8925586672738,1619.7559487871322,1500.0
2005-451,Doha,Hard,32,A,20050103,6,102703,,,Hyung Taik Lee,R,180.0,KOR,29.0,104660,,Q,Sergiy Stakhovsky,R,193.0,UKR,18.9,6-0 6-1,3,R32,,3.0,1.0,32.0,30.0,27.0,1.0,7.0,0.0,0.0,2.0,3.0,30.0,25.0,7.0,2.0,6.0,1.0,6.0,59.0,681.0,335.0,94.0,atp_matches_2005.csv,2005-01-03,1669.3454769055343,1478.681590485739,1619.6668765034087,1489.3064611669395
2005-451,Doha,Hard,32,A,20050103,13,103843,,Q,Marco Chiudinelli,R,185.0,SUI,23.3,102318,5.0,,Andrei Pavel,R,183.0,ROU,30.9,7-5 6-7(8) 6-4,3,R32,141.0,4.0,3.0,106.0,81.0,56.0,14.0,17.0,6.0,9.0,9.0,3.0,110.0,83.0,55.0,12.0,17.0,3.0,8.0,142.0,310.0,18.0,1325.0,atp_matches_2005.csv,2005-01-03,1501.0663433218442,1724.3170708246641,1477.5654831160637,1685.4735712677357
2005-451,Doha,Hard,32,A,20050103,13,103843,,Q,Marco Chiudinelli,R,185.0,SUI,23.3,102318,5.0,,Andrei Pavel,R,183.0,ROU,30.9,7-5 6-7(8) 6-4,3,R32,141.0,4.0,3.0,106.0,81.0,56.0,14.0,17.0,6.0,9.0,9.0,3.0,110.0,83.0,55.0,12.0,17.0,3.0,8.0,142.0,310.0,18.0,1325.0,atp_matches_2005.csv,2005-01-03,1526.1326637414375,1699.250750405071,1502.1401306015323,1660.898923782267
2005-451,Doha,Hard,32,A,20050103,12,104745,,,Rafael Nadal,L,185.0,ESP,18.5,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,22.5,6-3 7-6(3),3,R32,94.0,3.0,5.0,70.0,45.0,36.0,9.0,11.0,2.0,4.0,2.0,1.0,61.0,46.0,25.0,7.0,10.0,0.0,3.0,51.0,775.0,16.0,1340.0,atp_matches_2005.csv,2005-01-03,1745.544704428364,1928.2837978245911,1687.0781207652205,1769.1855291292406
2005-451,Doha,Hard,32,A,20050103,12,104745,,,Rafael Nadal,L,185.0,ESP,18.5,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,22.5,6-3 7-6(3),3,R32,94.0,3.0,5.0,70.0,45.0,36.0,9.0,11.0,2.0,4.0,2.0,1.0,61.0,46.0,25.0,7.0,10.0,0.0,3.0,51.0,775.0,16.0,1340.0,atp_matches_2005.csv,2005-01-03,1769.2613600992431,1904.567142153712,1706.7904524955845,1749.4731973988767
2005-451,Doha,Hard,32,A,20050103,11,104269,,,Fernando Verdasco,L,188.0,ESP,21.1,104558,,WC,Mohammed Abdulla,U,,QAT,19.6,6-2 6-2,3,R32,54.0,5.0,3.0,45.0,26.0,22.0,11.0,8.0,1.0,1.0,0.0,6.0,49.0,22.0,14.0,10.0,8.0,1.0,5.0,36.0,938.0,1349.0,2.0,atp_matches_2005.csv,2005-01-03,1710.5628586883565,1500.0,1635.8785961790504,1500.0
2005-451,Doha,Hard,32,A,20050103,11,104269,,,Fernando Verdasco,L,188.0,ESP,21.1,104558,,WC,Mohammed Abdulla,U,,QAT,19.6,6-2 6-2,3,R32,54.0,5.0,3.0,45.0,26.0,22.0,11.0,8.0,1.0,1.0,0.0,6.0,49.0,22.0,14.0,10.0,8.0,1.0,5.0,36.0,938.0,1349.0,2.0,atp_matches_2005.csv,2005-01-03,1717.9014243621398,1492.6614343262167,1645.921803228035,1489.9567929510154
2005-451,Doha,Hard,32,A,20050103,10,104043,,WC,Marc Lopez,R,175.0,ESP,22.4,102539,,,Bohdan Ulihrach,R,188.0,CZE,29.8,7-5 7-6(2),3,R32,117.0,2.0,0.0,72.0,38.0,30.0,15.0,12.0,4.0,7.0,1.0,6.0,105.0,67.0,38.0,18.0,12.0,13.0,17.0,149.0,300.0,86.0,468.0,atp_matches_2005.csv,2005-01-03,1595.2867534266468,1613.716888014221,1500.0,1617.184538642595
2005-451,Doha,Hard,32,A,20050103,10,104043,,WC,Marc Lopez,R,175.0,ESP,22.4,102539,,,Bohdan Ulihrach,R,188.0,CZE,29.8,7-5 7-6(2),3,R32,117.0,2.0,0.0,72.0,38.0,30.0,15.0,12.0,4.0,7.0,1.0,6.0,105.0,67.0,38.0,18.0,12.0,13.0,17.0,149.0,300.0,86.0,468.0,atp_matches_2005.csv,2005-01-03,1612.1346972964316,1596.8689441444362,1521.2008112330604,1595.9837274095346
