tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2019-0891,Pune,Hard,32,A,20181231,282,144719,7.0,,Jaume Munar,R,183.0,ESP,21.6,105430,,,Radu Albot,R,175.0,MDA,29.1,6-2 7-6(4),3,R32,103.0,4.0,1.0,78.0,58.0,39.0,10.0,10.0,9.0,10.0,1.0,4.0,68.0,42.0,26.0,13.0,10.0,5.0,8.0,81.0,663.0,98.0,592.0,atp_matches_2019.csv,2018-12-31,1617.3545156547298,1630.5090429114557,1501.598376731611,1548.314277153328
2019-0891,Pune,Hard,32,A,20181231,282,144719,7.0,,Jaume Munar,R,183.0,ESP,21.6,105430,,,Radu Albot,R,175.0,MDA,29.1,6-2 7-6(4),3,R32,103.0,4.0,1.0,78.0,58.0,39.0,10.0,10.0,9.0,10.0,1.0,4.0,68.0,42.0,26.0,13.0,10.0,5.0,8.0,81.0,663.0,98.0,592.0,atp_matches_2019.csv,2018-12-31,1633.960014719279,1613.9035438469066,1519.7368516024824,1530.1758022824567
2019-0891,Pune,Hard,32,A,20181231,290,105332,5.0,,Benoit Paire,R,196.0,FRA,29.6,106210,,,Jiri Vesely,L,198.0,CZE,25.4,6-4 6-2,3,R16,71.0,11.0,6.0,53.0,22.0,20.0,17.0,9.0,3.0,4.0,2.0,3.0,65.0,39.0,22.0,12.0,9.0,9.0,13.0,52.0,935.0,89.0,629.0,atp_matches_2019.csv,2018-12-31,1727.4291694884498,1686.206792004427,1683.566721983364,1549.7626696305224
2019-0891,Pune,Hard,32,A,20181231,290,105332,5.0,,Benoit Paire,R,196.0,FRA,29.6,106210,,,Jiri Vesely,L,198.0,CZE,25.4,6-4 6-2,3,R16,71.0,11.0,6.0,53.0,22.0,20.0,17.0,9.0,3.0,4.0,2.0,3.0,65.0,39.0,22.0,12.0,9.0,9.0,13.0,52.0,935.0,89.0,629.0,atp_matches_2019.csv,2018-12-31,1753.5868244755254,1680.7612728249997,1700.7737761374883,1553.819513397957
2019-0891,Pune,Hard,32,A,20181231,289,104327,,PR,Steve Darcis,R,178.0,BEL,34.8,111581,,,Michael Mmoh,R,188.0,USA,20.9,4-6 7-6(4) 6-2,3,R16,189.0,5.0,5.0,131.0,81.0,51.0,29.0,15.0,16.0,18.0,2.0,1.0,108.0,71.0,46.0,21.0,15.0,11.0,14.0,,,103.0,563.0,atp_matches_2019.csv,2018-12-31,1743.2906281533835,1567.6232034528646,1703.4929403436668,1586.1920571249614
2019-0891,Pune,Hard,32,A,20181231,289,104327,,PR,Steve Darcis,R,178.0,BEL,34.8,111581,,,Michael Mmoh,R,188.0,USA,20.9,4-6 7-6(4) 6-2,3,R16,189.0,5.0,5.0,131.0,81.0,51.0,29.0,15.0,16.0,18.0,2.0,1.0,108.0,71.0,46.0,21.0,15.0,11.0,14.0,,,103.0,563.0,atp_matches_2019.csv,2018-12-31,1763.543968654972,1572.6434543558987,1723.3821785418957,1586.0109911888726
2019-0891,Pune,Hard,32,A,20181231,288,104291,4.0,,Malek Jaziri,R,185.0,TUN,34.9,106368,,WC,Ramkumar Ramanathan,R,188.0,IND,24.1,6-7(6) 7-6(5) 6-3,3,R16,166.0,6.0,6.0,143.0,78.0,59.0,29.0,16.0,8.0,10.0,20.0,8.0,112.0,77.0,56.0,15.0,17.0,5.0,9.0,45.0,1014.0,132.0,433.0,atp_matches_2019.csv,2018-12-31,1679.8765727237112,1645.7826412952184,1667.6495855125506,1545.9362033590874
2019-0891,Pune,Hard,32,A,20181231,288,104291,4.0,,Malek Jaziri,R,185.0,TUN,34.9,106368,,WC,Ramkumar Ramanathan,R,188.0,IND,24.1,6-7(6) 7-6(5) 6-3,3,R16,166.0,6.0,6.0,143.0,78.0,59.0,29.0,16.0,8.0,10.0,20.0,8.0,112.0,77.0,56.0,15.0,17.0,5.0,9.0,45.0,1014.0,132.0,433.0,atp_matches_2019.csv,2018-12-31,1694.311509549428,1647.2560009177694,1678.2630469089208,1550.9870524218497
2019-0891,Pune,Hard,32,A,20181231,287,103333,,,Ivo Karlovic,R,208.0,CRO,39.8,105539,,,Evgeny Donskoy,R,185.0,RUS,28.6,6-4 7-5,3,R16,72.0,17.0,2.0,51.0,36.0,31.0,13.0,11.0,0.0,0.0,8.0,3.0,68.0,35.0,28.0,16.0,11.0,2.0,4.0,100.0,589.0,97.0,594.0,atp_matches_2019.csv,2018-12-31,1587.160758396971,1644.4410446416073,1557.7957856468083,1603.6743885884466
2019-0891,Pune,Hard,32,A,20181231,287,103333,,,Ivo Karlovic,R,208.0,CRO,39.8,105539,,,Evgeny Donskoy,R,185.0,RUS,28.6,6-4 7-5,3,R16,72.0,17.0,2.0,51.0,36.0,31.0,13.0,11.0,0.0,0.0,8.0,3.0,68.0,35.0,28.0,16.0,11.0,2.0,4.0,100.0,589.0,97.0,594.0,atp_matches_2019.csv,2018-12-31,1620.5503845601336,1643.038086905826,1591.0211598950707,1595.0902623935986
2019-0891,Pune,Hard,32,A,20181231,286,105208,,,Ernests Gulbis,R,190.0,LAT,30.3,111202,2.0,,Hyeon Chung,R,188.0,KOR,22.6,7-6(2) 6-2,3,R16,98.0,8.0,1.0,63.0,32.0,23.0,16.0,10.0,1.0,4.0,0.0,3.0,62.0,35.0,16.0,15.0,10.0,3.0,8.0,95.0,612.0,25.0,1585.0,atp_matches_2019.csv,2018-12-31,1787.0905194556603,1796.6255470547171,1632.037631798015,1755.5622439093963
2019-0891,Pune,Hard,32,A,20181231,286,105208,,,Ernests Gulbis,R,190.0,LAT,30.3,111202,2.0,,Hyeon Chung,R,188.0,KOR,22.6,7-6(2) 6-2,3,R16,98.0,8.0,1.0,63.0,32.0,23.0,16.0,10.0,1.0,4.0,0.0,3.0,62.0,35.0,16.0,15.0,10.0,3.0,8.0,95.0,612.0,25.0,1585.0,atp_matches_2019.csv,2018-12-31,1812.4356427686748,1780.18655301393,1661.6729012019703,1734.1018789571015
2019-0891,Pune,Hard,32,A,20181231,284,111513,,,Laslo Djere,R,188.0,SRB,23.5,111459,,WC,Arjun Kadhe,R,185.0,IND,24.9,7-5 7-6(6),3,R32,103.0,8.0,2.0,70.0,43.0,37.0,16.0,12.0,2.0,3.0,6.0,1.0,93.0,61.0,40.0,18.0,12.0,7.0,9.0,93.0,621.0,392.0,37.0,atp_matches_2019.csv,2018-12-31,1669.1003813862205,1483.2098688385304,1433.166470836201,1479.940592875061
2019-0891,Pune,Hard,32,A,20181231,284,111513,,,Laslo Djere,R,188.0,SRB,23.5,111459,,WC,Arjun Kadhe,R,185.0,IND,24.9,7-5 7-6(6),3,R32,103.0,8.0,2.0,70.0,43.0,37.0,16.0,12.0,2.0,3.0,6.0,1.0,93.0,61.0,40.0,18.0,12.0,7.0,9.0,93.0,621.0,392.0,37.0,atp_matches_2019.csv,2018-12-31,1677.2728430999407,1475.0374071248102,1451.3075789567304,1461.7994847545315
2019-0451,Doha,Hard,32,A,20181231,272,104607,,WC,Tomas Berdych,R,196.0,CZE,33.2,104259,,,Philipp Kohlschreiber,R,178.0,GER,35.2,6-4 7-6(5),3,R32,102.0,6.0,1.0,73.0,43.0,33.0,17.0,11.0,1.0,2.0,3.0,4.0,73.0,42.0,33.0,14.0,11.0,2.0,4.0,71.0,715.0,34.0,1125.0,atp_matches_2019.csv,2018-12-31,1770.6652431602931,1806.4933425369584,1853.4547790101985,1816.9619919474196
