tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2008-451,Doha,Hard,32,A,20071231,15,102703,,,Hyung Taik Lee,R,180.0,KOR,31.9,103018,,WC,Max Mirnyi,R,196.0,BLR,30.4,6-3 6-2,3,R32,57.0,1.0,1.0,50.0,36.0,25.0,10.0,9.0,1.0,2.0,1.0,0.0,40.0,26.0,14.0,7.0,8.0,0.0,4.0,51.0,642.0,152.0,280.0,atp_matches_2008.csv,2007-12-31,1780.0747147681686,1535.614404717216,1752.9509679555808,1520.308659569434
2008-451,Doha,Hard,32,A,20071231,15,102703,,,Hyung Taik Lee,R,180.0,KOR,31.9,103018,,WC,Max Mirnyi,R,196.0,BLR,30.4,6-3 6-2,3,R32,57.0,1.0,1.0,50.0,36.0,25.0,10.0,9.0,1.0,2.0,1.0,0.0,40.0,26.0,14.0,7.0,8.0,0.0,4.0,51.0,642.0,152.0,280.0,atp_matches_2008.csv,2007-12-31,1786.368214055719,1529.3209054296658,1759.5955176874006,1513.6641098376142
2008-451,Doha,Hard,32,A,20071231,13,103294,,Q,Christophe Rochus,R,170.0,BEL,29.0,103333,5.0,,Ivo Karlovic,R,208.0,CRO,28.8,7-6(2) 6-2,3,R32,84.0,3.0,2.0,71.0,49.0,38.0,11.0,10.0,4.0,4.0,16.0,1.0,64.0,45.0,34.0,7.0,10.0,1.0,3.0,194.0,218.0,22.0,1360.0,atp_matches_2008.csv,2007-12-31,1519.5730538362654,2019.1164936120083,1481.1922617947796,1950.5618542869358
2008-451,Doha,Hard,32,A,20071231,13,103294,,Q,Christophe Rochus,R,170.0,BEL,29.0,103333,5.0,,Ivo Karlovic,R,208.0,CRO,28.8,7-6(2) 6-2,3,R32,84.0,3.0,2.0,71.0,49.0,38.0,11.0,10.0,4.0,4.0,16.0,1.0,64.0,45.0,34.0,7.0,10.0,1.0,3.0,194.0,218.0,22.0,1360.0,atp_matches_2008.csv,2007-12-31,1549.8651227742982,1988.8244246739755,1511.180715241842,1920.5734008398733
2008-451,Doha,Hard,32,A,20071231,12,103344,4.0,,Ivan Ljubicic,R,193.0,CRO,28.7,102905,,,Stefan Koubek,L,175.0,AUT,30.9,6-4 6-4,3,R32,73.0,10.0,0.0,56.0,44.0,33.0,7.0,10.0,0.0,1.0,2.0,3.0,61.0,36.0,25.0,9.0,10.0,2.0,5.0,18.0,1580.0,47.0,661.0,atp_matches_2008.csv,2007-12-31,1749.2200694779715,1806.441024756191,1750.3611244803071,1739.2797020246473
2008-451,Doha,Hard,32,A,20071231,12,103344,4.0,,Ivan Ljubicic,R,193.0,CRO,28.7,102905,,,Stefan Koubek,L,175.0,AUT,30.9,6-4 6-4,3,R32,73.0,10.0,0.0,56.0,44.0,33.0,7.0,10.0,0.0,1.0,2.0,3.0,61.0,36.0,25.0,9.0,10.0,2.0,5.0,18.0,1580.0,47.0,661.0,atp_matches_2008.csv,2007-12-31,1786.806965811067,1787.829472141282,1776.0503759057033,1723.7898474118247
2008-451,Doha,Hard,32,A,20071231,11,104386,,,Janko Tipsarevic,R,180.0,SRB,23.5,103490,,,Santiago Ventura,R,183.0,ESP,27.9,3-6 6-3 6-4,3,R32,140.0,2.0,3.0,81.0,43.0,33.0,20.0,14.0,7.0,10.0,9.0,3.0,105.0,53.0,38.0,22.0,14.0,8.0,12.0,52.0,632.0,87.0,473.0,atp_matches_2008.csv,2007-12-31,1712.2597017048686,1593.2001566131862,1644.8957047947015,1471.0718082790784
2008-451,Doha,Hard,32,A,20071231,11,104386,,,Janko Tipsarevic,R,180.0,SRB,23.5,103490,,,Santiago Ventura,R,183.0,ESP,27.9,3-6 6-3 6-4,3,R32,140.0,2.0,3.0,81.0,43.0,33.0,20.0,14.0,7.0,10.0,9.0,3.0,105.0,53.0,38.0,22.0,14.0,8.0,12.0,52.0,632.0,87.0,473.0,atp_matches_2008.csv,2007-12-31,1709.0358164652603,1582.4780558350278,1642.4989166424944,1462.4695250397654
2008-451,Doha,Hard,32,A,20071231,10,103835,,,Filippo Volandri,R,183.0,ITA,26.3,103701,,,Diego Hartfield,R,185.0,ARG,26.9,4-6 6-3 7-6(3),3,R32,166.0,4.0,7.0,121.0,86.0,55.0,15.0,16.0,12.0,16.0,3.0,5.0,112.0,70.0,45.0,16.0,15.0,6.0,10.0,40.0,731.0,89.0,466.0,atp_matches_2008.csv,2007-12-31,1633.0203078231348,1592.6253917391077,1393.4022849728274,1463.232563352513
2008-451,Doha,Hard,32,A,20071231,10,103835,,,Filippo Volandri,R,183.0,ITA,26.3,103701,,,Diego Hartfield,R,185.0,ARG,26.9,4-6 6-3 7-6(3),3,R32,166.0,4.0,7.0,121.0,86.0,55.0,15.0,16.0,12.0,16.0,3.0,5.0,112.0,70.0,45.0,16.0,15.0,6.0,10.0,40.0,731.0,89.0,466.0,atp_matches_2008.csv,2007-12-31,1636.2270840342976,1578.4773092875166,1406.5055868457214,1444.0593736773048
2008-451,Doha,Hard,32,A,20071231,9,104259,6.0,,Philipp Kohlschreiber,R,178.0,GER,24.2,103169,,,Oscar Hernandez,R,180.0,ESP,29.7,6-3 6-1,3,R32,78.0,5.0,4.0,54.0,34.0,26.0,9.0,8.0,2.0,3.0,3.0,5.0,59.0,26.0,15.0,11.0,8.0,8.0,13.0,32.0,905.0,58.0,602.0,atp_matches_2008.csv,2007-12-31,1756.8010138185007,1424.268809859513,1660.6071902992446,1333.1338538003452
2008-451,Doha,Hard,32,A,20071231,9,104259,6.0,,Philipp Kohlschreiber,R,178.0,GER,24.2,103169,,,Oscar Hernandez,R,180.0,ESP,29.7,6-3 6-1,3,R32,78.0,5.0,4.0,54.0,34.0,26.0,9.0,8.0,2.0,3.0,3.0,5.0,59.0,26.0,15.0,11.0,8.0,8.0,13.0,32.0,905.0,58.0,602.0,atp_matches_2008.csv,2007-12-31,1756.3114458530247,1420.1565313292153,1659.6284291666693,1328.9160764843875
2008-451,Doha,Hard,32,A,20071231,8,102563,,,Thomas Johansson,R,180.0,SWE,32.7,104214,7.0,,Igor Andreev,R,185.0,RUS,24.4,6-1 6-0,3,R32,47.0,3.0,1.0,35.0,24.0,21.0,7.0,7.0,0.0,0.0,0.0,1.0,36.0,23.0,8.0,5.0,6.0,3.0,8.0,62.0,583.0,33.0,890.0,atp_matches_2008.csv,2007-12-31,1832.8144888170714,1811.8463025414655,1798.7153096240734,1708.3523057986615
2008-451,Doha,Hard,32,A,20071231,8,102563,,,Thomas Johansson,R,180.0,SWE,32.7,104214,7.0,,Igor Andreev,R,185.0,RUS,24.4,6-1 6-0,3,R32,47.0,3.0,1.0,35.0,24.0,21.0,7.0,7.0,0.0,0.0,0.0,1.0,36.0,23.0,8.0,5.0,6.0,3.0,8.0,62.0,583.0,33.0,890.0,atp_matches_2008.csv,2007-12-31,1849.1446146590747,1796.8107525567852,1808.9895074691585,1696.4223158041884
2008-451,Doha,Hard,32,A,20071231,7,103582,,,Michael Berrer,L,193.0,GER,27.4,108993,,WC,Abdulla Hajji,R,,QAT,17.0,6-1 6-1,3,R32,35.0,6.0,0.0,28.0,20.0,20.0,8.0,7.0,0.0,0.0,0.0,4.0,40.0,26.0,15.0,1.0,7.0,2.0,7.0,57.0,608.0,,,atp_matches_2008.csv,2007-12-31,1729.392369911999,1500.0,1668.4520448207393,1500.0
2008-451,Doha,Hard,32,A,20071231,7,103582,,,Michael Berrer,L,193.0,GER,27.4,108993,,WC,Abdulla Hajji,R,,QAT,17.0,6-1 6-1,3,R32,35.0,6.0,0.0,28.0,20.0,20.0,8.0,7.0,0.0,0.0,0.0,4.0,40.0,26.0,15.0,1.0,7.0,2.0,7.0,57.0,608.0,,,atp_matches_2008.csv,2007-12-31,1725.1103192496255,1493.2564156827707,1667.108226007034,1491.2018332448497
2008-451,Doha,Hard,32,A,20071231,6,102783,,WC,Rainer Schuettler,R,180.0,GER,31.6,102318,,,Andrei Pavel,R,183.0,ROU,33.9,1-6 6-2 6-0,3,R32,100.0,3.0,2.0,74.0,41.0,31.0,15.0,11.0,5.0,8.0,5.0,2.0,64.0,39.0,23.0,12.0,10.0,5.0,10.0,99.0,433.0,75.0,518.0,atp_matches_2008.csv,2007-12-31,1623.5152027534095,1695.2792405558546,1650.6968063017025,1508.0304764206514
2008-451,Doha,Hard,32,A,20071231,6,102783,,WC,Rainer Schuettler,R,180.0,GER,31.6,102318,,,Andrei Pavel,R,183.0,ROU,33.9,1-6 6-2 6-0,3,R32,100.0,3.0,2.0,74.0,41.0,31.0,15.0,11.0,5.0,8.0,5.0,2.0,64.0,39.0,23.0,12.0,10.0,5.0,10.0,99.0,433.0,75.0,518.0,atp_matches_2008.csv,2007-12-31,1635.481504523283,1676.0205958570073,1648.0712354907055,1498.2545512913457
2008-451,Doha,Hard,32,A,20071231,5,104918,3.0,,Andy Murray,R,190.0,GBR,20.6,103694,,,Olivier Rochus,R,168.0,BEL,26.9,6-0 6-2,3,R32,79.0,5.0,1.0,38.0,21.0,16.0,11.0,7.0,0.0,1.0,1.0,5.0,73.0,38.0,24.0,6.0,7.0,11.0,17.0,11.0,1755.0,48.0,661.0,atp_matches_2008.csv,2007-12-31,1990.0164697772798,1712.3486706481572,1892.8640298789305,1728.8301567643762
2008-451,Doha,Hard,32,A,20071231,5,104918,3.0,,Andy Murray,R,190.0,GBR,20.6,103694,,,Olivier Rochus,R,168.0,BEL,26.9,6-0 6-2,3,R32,79.0,5.0,1.0,38.0,21.0,16.0,11.0,7.0,0.0,1.0,1.0,5.0,73.0,38.0,24.0,6.0,7.0,11.0,17.0,11.0,1755.0,48.0,661.0,atp_matches_2008.csv,2007-12-31,2036.4648392028823,1706.9660291408456,1955.3348789040547,1719.8688230381674
2008-451,Doha,Hard,32,A,20071231,14,104527,,,Stan Wawrinka,R,183.0,SUI,22.7,103252,,Q,Alberto Martin,R,175.0,ESP,29.3,6-2 6-2,3,R32,73.0,5.0,0.0,46.0,23.0,19.0,12.0,8.0,0.0,1.0,1.0,2.0,65.0,35.0,18.0,12.0,8.0,9.0,14.0,36.0,820.0,143.0,308.0,atp_matches_2008.csv,2007-12-31,1897.6852686225996,1601.1122485774442,1856.5133341088394,1419.4403918924093
2008-451,Doha,Hard,32,A,20071231,14,104527,,,Stan Wawrinka,R,183.0,SUI,22.7,103252,,Q,Alberto Martin,R,175.0,ESP,29.3,6-2 6-2,3,R32,73.0,5.0,0.0,46.0,23.0,19.0,12.0,8.0,0.0,1.0,1.0,2.0,65.0,35.0,18.0,12.0,8.0,9.0,14.0,36.0,820.0,143.0,308.0,atp_matches_2008.csv,2007-12-31,1902.5980923688628,1596.199424831181,1858.9051585102268,1417.048567491022
2008-451,Doha,Hard,32,A,20071231,4,104098,8.0,,Dmitry Tursunov,R,185.0,RUS,25.0,103656,,,Albert Montanes,R,175.0,ESP,27.0,6-2 7-5,3,R32,81.0,9.0,1.0,67.0,44.0,34.0,10.0,10.0,3.0,4.0,5.0,2.0,65.0,40.0,29.0,8.0,10.0,2.0,6.0,34.0,853.0,46.0,681.0,atp_matches_2008.csv,2007-12-31,1719.2742589673787,1622.5786264174778,1658.952173471118,1388.5624385889664
2008-451,Doha,Hard,32,A,20071231,4,104098,8.0,,Dmitry Tursunov,R,185.0,RUS,25.0,103656,,,Albert Montanes,R,175.0,ESP,27.0,6-2 7-5,3,R32,81.0,9.0,1.0,67.0,44.0,34.0,10.0,10.0,3.0,4.0,5.0,2.0,65.0,40.0,29.0,8.0,10.0,2.0,6.0,34.0,853.0,46.0,681.0,atp_matches_2008.csv,2007-12-31,1767.2769764721568,1610.9201056567974,1705.3035385067349,1382.9896030128482
2008-891,Chennai,Hard,32,A,20071231,31,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,25.5,104745,1.0,,Rafael Nadal,L,185.0,ESP,21.5,6-0 6-1,3,F,57.0,9.0,0.0,33.0,23.0,21.0,7.0,7.0,0.0,0.0,1.0,1.0,32.0,21.0,10.0,2.0,6.0,1.0,6.0,19.0,1570.0,2.0,5735.0,atp_matches_2008.csv,2007-12-31,1873.472699448723,2133.1421032925978,1825.6990750664786,2002.6220342678153
2008-891,Chennai,Hard,32,A,20071231,31,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,25.5,104745,1.0,,Rafael Nadal,L,185.0,ESP,21.5,6-0 6-1,3,F,57.0,9.0,0.0,33.0,23.0,21.0,7.0,7.0,0.0,0.0,1.0,1.0,32.0,21.0,10.0,2.0,6.0,1.0,6.0,19.0,1570.0,2.0,5735.0,atp_matches_2008.csv,2007-12-31,1899.610114764182,2107.0046879771385,1849.2085358796662,1979.1125734546276
2008-891,Chennai,Hard,32,A,20071231,30,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,25.5,105227,,,Marin Cilic,R,198.0,CRO,19.2,6-2 6-3,3,SF,83.0,3.0,0.0,43.0,29.0,24.0,9.0,8.0,1.0,1.0,3.0,2.0,76.0,35.0,21.0,18.0,9.0,4.0,8.0,19.0,1570.0,71.0,533.0,atp_matches_2008.csv,2007-12-31,1862.0917344024213,1758.856036269954,1818.2289604199038,1611.6816599061133
2008-891,Chennai,Hard,32,A,20071231,30,104022,4.0,,Mikhail Youzhny,R,183.0,RUS,25.5,105227,,,Marin Cilic,R,198.0,CRO,19.2,6-2 6-3,3,SF,83.0,3.0,0.0,43.0,29.0,24.0,9.0,8.0,1.0,1.0,3.0,2.0,76.0,35.0,21.0,18.0,9.0,4.0,8.0,19.0,1570.0,71.0,533.0,atp_matches_2008.csv,2007-12-31,1924.1678925638084,1747.4750712236523,1870.9268229280508,1604.2115452595385
2008-891,Chennai,Hard,32,A,20071231,29,104745,1.0,,Rafael Nadal,L,185.0,ESP,21.5,102845,3.0,,Carlos Moya,R,190.0,ESP,31.3,6-7(3) 7-6(8) 7-6(1),3,SF,235.0,4.0,1.0,121.0,81.0,58.0,27.0,18.0,2.0,4.0,9.0,4.0,153.0,109.0,74.0,24.0,18.0,15.0,17.0,2.0,5735.0,17.0,1585.0,atp_matches_2008.csv,2007-12-31,2127.996753699467,1840.954907491391,1996.8597388112403,1733.527612935188
2008-891,Chennai,Hard,32,A,20071231,29,104745,1.0,,Rafael Nadal,L,185.0,ESP,21.5,102845,3.0,,Carlos Moya,R,190.0,ESP,31.3,6-7(3) 7-6(8) 7-6(1),3,SF,235.0,4.0,1.0,121.0,81.0,58.0,27.0,18.0,2.0,4.0,9.0,4.0,153.0,109.0,74.0,24.0,18.0,15.0,17.0,2.0,5735.0,17.0,1585.0,atp_matches_2008.csv,2007-12-31,2082.446910177512,1835.8095578982602,1957.394286406243,1727.765317478613
2008-451,Doha,Hard,32,A,20071231,19,104918,3.0,,Andy Murray,R,190.0,GBR,20.6,102783,,WC,Rainer Schuettler,R,180.0,GER,31.6,1-6 6-0 6-1,3,R16,94.0,5.0,2.0,73.0,44.0,32.0,12.0,10.0,4.0,6.0,0.0,1.0,50.0,28.0,15.0,12.0,10.0,3.0,8.0,11.0,1755.0,99.0,433.0,atp_matches_2008.csv,2007-12-31,1995.3991112845913,1642.7738474522569,1901.825363605139,1660.4727314310082
