tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2020-8888,Atp Cup,Hard,24,A,20200106,285,105332,,,Benoit Paire,R,196.0,FRA,30.6,105583,,,Dusan Lajovic,R,183.0,SRB,29.5,6-2 6-7(6) 6-4,3,RR,125.0,10.0,6.0,87.0,49.0,41.0,18.0,15.0,2.0,4.0,4.0,1.0,100.0,72.0,44.0,18.0,15.0,8.0,13.0,24.0,1538.0,34.0,1251.0,atp_matches_2020.csv,2020-01-06,1714.9624629550344,1602.7241531765007,1645.2464233494775,1545.5833711077207
2020-8888,Atp Cup,Hard,24,A,20200106,285,105332,,,Benoit Paire,R,196.0,FRA,30.6,105583,,,Dusan Lajovic,R,183.0,SRB,29.5,6-2 6-7(6) 6-4,3,RR,125.0,10.0,6.0,87.0,49.0,41.0,18.0,15.0,2.0,4.0,4.0,1.0,100.0,72.0,44.0,18.0,15.0,8.0,13.0,24.0,1538.0,34.0,1251.0,atp_matches_2020.csv,2020-01-06,1732.9621489442068,1707.208071185605,1660.8711779160496,1647.5299757393893
2020-0451,Doha,Hard,32,A,20200106,299,144895,,Q,Corentin Moutet,L,180.0,FRA,20.7,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,3-6 7-5 6-3,3,SF,120.0,0.0,0.0,74.0,56.0,45.0,12.0,15.0,0.0,1.0,12.0,4.0,93.0,61.0,45.0,17.0,15.0,9.0,11.0,81.0,638.0,15.0,1955.0,atp_matches_2020.csv,2020-01-06,1527.0009800624534,1975.527010287907,1441.2958457425748,1956.6505342353637
2020-0451,Doha,Hard,32,A,20200106,299,144895,,Q,Corentin Moutet,L,180.0,FRA,20.7,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,3-6 7-5 6-3,3,SF,120.0,0.0,0.0,74.0,56.0,45.0,12.0,15.0,0.0,1.0,12.0,4.0,93.0,61.0,45.0,17.0,15.0,9.0,11.0,81.0,638.0,15.0,1955.0,atp_matches_2020.csv,2020-01-06,1682.0036096847534,1990.1603818818787,1606.5111498227816,1961.1608588874901
2020-0451,Doha,Hard,32,A,20200106,298,126094,2.0,,Andrey Rublev,R,188.0,RUS,22.2,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,6-3 6-1,3,SF,53.0,10.0,1.0,43.0,26.0,24.0,10.0,8.0,0.0,0.0,0.0,1.0,50.0,30.0,14.0,10.0,8.0,2.0,6.0,23.0,1584.0,62.0,881.0,atp_matches_2020.csv,2020-01-06,2047.2309711971418,1700.2735872129394,1989.525801644356,1618.5794048631271
2020-0451,Doha,Hard,32,A,20200106,298,126094,2.0,,Andrey Rublev,R,188.0,RUS,22.2,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,6-3 6-1,3,SF,53.0,10.0,1.0,43.0,26.0,24.0,10.0,8.0,0.0,0.0,0.0,1.0,50.0,30.0,14.0,10.0,8.0,2.0,6.0,23.0,1584.0,62.0,881.0,atp_matches_2020.csv,2020-01-06,2068.9537793468407,1799.811133323798,2011.645559820427,1732.5374234016076
2020-0451,Doha,Hard,32,A,20200106,297,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,105379,,,Aljaz Bedene,R,181.0,SLO,30.4,6-3 6-4,3,QF,83.0,5.0,0.0,58.0,29.0,27.0,16.0,10.0,2.0,2.0,7.0,1.0,49.0,25.0,22.0,10.0,9.0,2.0,4.0,15.0,1955.0,58.0,905.0,atp_matches_2020.csv,2020-01-06,1945.776959119397,1815.3677551394592,1926.217153552454,1717.5448079057846
2020-0451,Doha,Hard,32,A,20200106,297,104527,1.0,,Stan Wawrinka,R,183.0,SUI,34.7,105379,,,Aljaz Bedene,R,181.0,SLO,30.4,6-3 6-4,3,QF,83.0,5.0,0.0,58.0,29.0,27.0,16.0,10.0,2.0,2.0,7.0,1.0,49.0,25.0,22.0,10.0,9.0,2.0,4.0,15.0,1955.0,58.0,905.0,atp_matches_2020.csv,2020-01-06,1980.0433379525148,1846.0223968451535,1953.4099117480364,1755.273909677399
2020-0451,Doha,Hard,32,A,20200106,295,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,105916,,Q,Marton Fucsovics,R,188.0,HUN,27.9,6-2 6-0,3,QF,55.0,2.0,0.0,39.0,30.0,22.0,6.0,7.0,3.0,4.0,6.0,2.0,48.0,32.0,14.0,3.0,7.0,6.0,12.0,62.0,881.0,70.0,790.0,atp_matches_2020.csv,2020-01-06,1696.4498353363776,1661.3168287252954,1615.1967105683245,1701.9603815717473
2020-0451,Doha,Hard,32,A,20200106,295,200175,,,Miomir Kecmanovic,R,183.0,SRB,20.3,105916,,Q,Marton Fucsovics,R,188.0,HUN,27.9,6-2 6-0,3,QF,55.0,2.0,0.0,39.0,30.0,22.0,6.0,7.0,3.0,4.0,6.0,2.0,48.0,32.0,14.0,3.0,7.0,6.0,12.0,62.0,881.0,70.0,790.0,atp_matches_2020.csv,2020-01-06,1788.0330306819098,1694.1344038993204,1716.004893301359,1727.5729103183644
