tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2007-339,Adelaide,Hard,32,A,20070101,539,105223,,,Juan Martin del Potro,R,198.0,ARG,18.2,103401,,,Jan Hernych,R,190.0,CZE,27.4,6-2 6-4,3,RR,73.0,7.0,1.0,43.0,29.0,24.0,7.0,9.0,1.0,3.0,0.0,0.0,64.0,46.0,20.0,10.0,9.0,10.0,15.0,92.0,445.0,75.0,511.0,atp_matches_2007.csv,2007-01-01,1638.4773030985875,1648.845825032841,1546.039189329117,1557.8516948101203
2007-339,Adelaide,Hard,32,A,20070101,539,105223,,,Juan Martin del Potro,R,198.0,ARG,18.2,103401,,,Jan Hernych,R,190.0,CZE,27.4,6-2 6-4,3,RR,73.0,7.0,1.0,43.0,29.0,24.0,7.0,9.0,1.0,3.0,0.0,0.0,64.0,46.0,20.0,10.0,9.0,10.0,15.0,92.0,445.0,75.0,511.0,atp_matches_2007.csv,2007-01-01,1687.9341720694626,1601.493002242549,1598.9481888864314,1514.9253652246546
2007-451,Doha,Hard,32,A,20070101,21,104417,6.0,,Robin Soderling,R,193.0,SWE,22.3,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,23.5,4-6 6-0 6-3,3,R16,111.0,8.0,1.0,97.0,66.0,45.0,16.0,13.0,5.0,7.0,3.0,2.0,68.0,51.0,27.0,10.0,12.0,3.0,8.0,25.0,1028.0,68.0,542.0,atp_matches_2007.csv,2007-01-01,1866.7285461412343,1588.0690547356287,1823.1424944037888,1506.0660409818288
2007-451,Doha,Hard,32,A,20070101,21,104417,6.0,,Robin Soderling,R,193.0,SWE,22.3,104198,,,Guillermo Garcia Lopez,R,188.0,ESP,23.5,4-6 6-0 6-3,3,R16,111.0,8.0,1.0,97.0,66.0,45.0,16.0,13.0,5.0,7.0,3.0,2.0,68.0,51.0,27.0,10.0,12.0,3.0,8.0,25.0,1028.0,68.0,542.0,atp_matches_2007.csv,2007-01-01,1873.339375869898,1582.7119237929267,1829.943114517323,1501.6242346900567
2007-451,Doha,Hard,32,A,20070101,20,103018,,,Max Mirnyi,R,196.0,BLR,29.4,103843,,Q,Marco Chiudinelli,R,185.0,SUI,25.3,6-3 6-3,3,R16,83.0,1.0,4.0,63.0,43.0,33.0,7.0,9.0,3.0,4.0,1.0,1.0,69.0,38.0,19.0,17.0,9.0,5.0,9.0,59.0,680.0,155.0,280.0,atp_matches_2007.csv,2007-01-01,1732.3790468262744,1589.9425921470377,1581.3070488050653,1530.3581815549287
2007-451,Doha,Hard,32,A,20070101,20,103018,,,Max Mirnyi,R,196.0,BLR,29.4,103843,,Q,Marco Chiudinelli,R,185.0,SUI,25.3,6-3 6-3,3,R16,83.0,1.0,4.0,63.0,43.0,33.0,7.0,9.0,3.0,4.0,1.0,1.0,69.0,38.0,19.0,17.0,9.0,5.0,9.0,59.0,680.0,155.0,280.0,atp_matches_2007.csv,2007-01-01,1732.8517875609248,1580.1576805063228,1588.929845828939,1516.6877888183126
2007-451,Doha,Hard,32,A,20070101,19,104918,4.0,,Andy Murray,R,190.0,GBR,19.6,103294,,,Christophe Rochus,R,170.0,BEL,28.0,6-1 6-3,3,R16,83.0,3.0,0.0,51.0,30.0,20.0,13.0,8.0,1.0,2.0,1.0,2.0,67.0,49.0,25.0,6.0,8.0,6.0,11.0,17.0,1370.0,78.0,504.0,atp_matches_2007.csv,2007-01-01,1924.6306481523322,1524.9217978616257,1870.9952916073298,1525.5106050778006
2007-451,Doha,Hard,32,A,20070101,19,104918,4.0,,Andy Murray,R,190.0,GBR,19.6,103294,,,Christophe Rochus,R,170.0,BEL,28.0,6-1 6-3,3,R16,83.0,3.0,0.0,51.0,30.0,20.0,13.0,8.0,1.0,2.0,1.0,2.0,67.0,49.0,25.0,6.0,8.0,6.0,11.0,17.0,1370.0,78.0,504.0,atp_matches_2007.csv,2007-01-01,1913.455486679725,1522.0082715357735,1862.1530403408492,1521.6582184965562
2007-451,Doha,Hard,32,A,20070101,18,103694,,,Olivier Rochus,R,168.0,BEL,25.9,103487,,Q,Federico Luzzi,R,188.0,ITA,26.9,6-1 6-0,3,R16,44.0,4.0,4.0,33.0,20.0,17.0,8.0,6.0,1.0,1.0,5.0,6.0,51.0,31.0,14.0,6.0,7.0,4.0,10.0,36.0,910.0,147.0,311.0,atp_matches_2007.csv,2007-01-01,1802.7174698807967,1478.68998218645,1799.3489998945313,1442.5098078861113
2007-451,Doha,Hard,32,A,20070101,18,103694,,,Olivier Rochus,R,168.0,BEL,25.9,103487,,Q,Federico Luzzi,R,188.0,ITA,26.9,6-1 6-0,3,R16,44.0,4.0,4.0,33.0,20.0,17.0,8.0,6.0,1.0,1.0,5.0,6.0,51.0,31.0,14.0,6.0,7.0,4.0,10.0,36.0,910.0,147.0,311.0,atp_matches_2007.csv,2007-01-01,1807.0084152875247,1474.3990367797219,1802.9853384659248,1438.8734693147178
