tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2010-339,Brisbane,Hard,32,A,20100103,23,104639,,,Wayne Odesnik,L,180.0,USA,24.1,104268,,,Alejandro Falla,L,185.0,COL,26.1,6-7(8) 6-2 6-1,3,R16,136.0,4.0,1.0,96.0,57.0,41.0,24.0,14.0,6.0,7.0,8.0,6.0,82.0,44.0,33.0,14.0,13.0,4.0,9.0,105.0,521.0,81.0,587.0,atp_matches_2010.csv,2010-01-03,1678.5054547009274,1597.9911147197556,1599.9803141944797,1590.9814973824566
2010-339,Brisbane,Hard,32,A,20100103,23,104639,,,Wayne Odesnik,L,180.0,USA,24.1,104268,,,Alejandro Falla,L,185.0,COL,26.1,6-7(8) 6-2 6-1,3,R16,136.0,4.0,1.0,96.0,57.0,41.0,24.0,14.0,6.0,7.0,8.0,6.0,82.0,44.0,33.0,14.0,13.0,4.0,9.0,105.0,521.0,81.0,587.0,atp_matches_2010.csv,2010-01-03,1686.823593409536,1585.6339589248457,1612.4844795394147,1575.3958155677497
2010-339,Brisbane,Hard,32,A,20100103,28,103285,2.0,,Radek Stepanek,R,185.0,CZE,31.1,104639,,,Wayne Odesnik,L,180.0,USA,24.1,7-6(2) 6-1,3,QF,100.0,7.0,4.0,61.0,33.0,24.0,17.0,9.0,1.0,2.0,3.0,3.0,69.0,40.0,25.0,11.0,10.0,6.0,10.0,12.0,2625.0,105.0,521.0,atp_matches_2010.csv,2010-01-03,2026.973307992099,1690.8626104958373,2004.5304047309774,1615.5659960091866
2010-339,Brisbane,Hard,32,A,20100103,28,103285,2.0,,Radek Stepanek,R,185.0,CZE,31.1,104639,,,Wayne Odesnik,L,180.0,USA,24.1,7-6(2) 6-1,3,QF,100.0,7.0,4.0,61.0,33.0,24.0,17.0,9.0,1.0,2.0,3.0,3.0,69.0,40.0,25.0,11.0,10.0,6.0,10.0,12.0,2625.0,105.0,521.0,atp_matches_2010.csv,2010-01-03,2031.0123250784004,1698.2910764075123,2007.6119212007493,1626.7829418358283
2010-339,Brisbane,Hard,32,A,20100103,27,104792,3.0,,Gael Monfils,R,193.0,FRA,23.3,103484,,,James Blake,R,185.0,USA,30.0,3-6 6-3 6-4,3,QF,104.0,13.0,4.0,90.0,55.0,41.0,18.0,14.0,7.0,9.0,4.0,5.0,88.0,50.0,38.0,17.0,14.0,3.0,6.0,13.0,2610.0,44.0,935.0,atp_matches_2010.csv,2010-01-03,1988.0554236761288,1824.7052208464172,1926.7836230236117,1769.4757291056717
2010-339,Brisbane,Hard,32,A,20100103,27,104792,3.0,,Gael Monfils,R,193.0,FRA,23.3,103484,,,James Blake,R,185.0,USA,30.0,3-6 6-3 6-4,3,QF,104.0,13.0,4.0,90.0,55.0,41.0,18.0,14.0,7.0,9.0,4.0,5.0,88.0,50.0,38.0,17.0,14.0,3.0,6.0,13.0,2610.0,44.0,935.0,atp_matches_2010.csv,2010-01-03,1997.0421705205829,1815.7184740019632,1935.996869956452,1760.2624821728314
2010-339,Brisbane,Hard,32,A,20100103,26,104607,4.0,,Tomas Berdych,R,196.0,CZE,24.2,105064,8.0,,Thomaz Bellucci,L,188.0,BRA,22.0,7-6(4) 2-6 7-6(3),3,QF,162.0,12.0,2.0,99.0,59.0,45.0,23.0,16.0,3.0,6.0,8.0,5.0,113.0,62.0,46.0,27.0,16.0,2.0,3.0,20.0,1655.0,36.0,1021.0,atp_matches_2010.csv,2010-01-03,1887.7091552207826,1764.9080776759768,1817.776659720966,1620.6794864369283
2010-339,Brisbane,Hard,32,A,20100103,26,104607,4.0,,Tomas Berdych,R,196.0,CZE,24.2,105064,8.0,,Thomaz Bellucci,L,188.0,BRA,22.0,7-6(4) 2-6 7-6(3),3,QF,162.0,12.0,2.0,99.0,59.0,45.0,23.0,16.0,3.0,6.0,8.0,5.0,113.0,62.0,46.0,27.0,16.0,2.0,3.0,20.0,1655.0,36.0,1021.0,atp_matches_2010.csv,2010-01-03,1898.2782504768597,1754.3389824198996,1825.5627846017524,1612.893361556142
2010-339,Brisbane,Hard,32,A,20100103,25,104053,1.0,,Andy Roddick,R,188.0,USA,27.3,104755,,,Richard Gasquet,R,185.0,FRA,23.5,6-3 7-6(5),3,QF,85.0,16.0,1.0,60.0,45.0,39.0,10.0,11.0,0.0,0.0,6.0,2.0,67.0,38.0,31.0,14.0,10.0,7.0,8.0,7.0,4410.0,52.0,850.0,atp_matches_2010.csv,2010-01-03,2014.118645928533,1852.5653977676454,1950.6408625121082,1808.0532657039626
2010-339,Brisbane,Hard,32,A,20100103,25,104053,1.0,,Andy Roddick,R,188.0,USA,27.3,104755,,,Richard Gasquet,R,185.0,FRA,23.5,6-3 7-6(5),3,QF,85.0,16.0,1.0,60.0,45.0,39.0,10.0,11.0,0.0,0.0,6.0,2.0,67.0,38.0,31.0,14.0,10.0,7.0,8.0,7.0,4410.0,52.0,850.0,atp_matches_2010.csv,2010-01-03,2028.2867149362153,1843.5116462381845,1966.4689728679161,1798.274263183099
2010-339,Brisbane,Hard,32,A,20100103,24,103285,2.0,,Radek Stepanek,R,185.0,CZE,31.1,105238,,Q,Alexandr Dolgopolov,R,180.0,UKR,21.1,5-7 7-6(4) 6-2,3,R16,140.0,11.0,7.0,108.0,70.0,53.0,18.0,16.0,4.0,7.0,9.0,6.0,98.0,49.0,40.0,22.0,16.0,4.0,8.0,12.0,2625.0,131.0,413.0,atp_matches_2010.csv,2010-01-03,2026.6772972941205,1467.3555512601995,2007.390088252047,1531.574848253311
2010-339,Brisbane,Hard,32,A,20100103,24,103285,2.0,,Radek Stepanek,R,185.0,CZE,31.1,105238,,Q,Alexandr Dolgopolov,R,180.0,UKR,21.1,5-7 7-6(4) 6-2,3,R16,140.0,11.0,7.0,108.0,70.0,53.0,18.0,16.0,4.0,7.0,9.0,6.0,98.0,49.0,40.0,22.0,16.0,4.0,8.0,12.0,2625.0,131.0,413.0,atp_matches_2010.csv,2010-01-03,2035.1207051743165,1466.1257744990921,2010.8263406313592,1529.6321225144247
2010-339,Brisbane,Hard,32,A,20100103,3,104755,,,Richard Gasquet,R,185.0,FRA,23.5,103813,,,Jarkko Nieminen,L,185.0,FIN,28.4,6-3 4-6 6-4,3,R32,121.0,5.0,4.0,97.0,51.0,33.0,27.0,15.0,5.0,8.0,4.0,0.0,85.0,58.0,38.0,14.0,14.0,7.0,11.0,52.0,850.0,88.0,568.0,atp_matches_2010.csv,2010-01-03,1839.3242951820898,1671.6098774779587,1793.0608050221133,1643.5009239545366
2010-339,Brisbane,Hard,32,A,20100103,3,104755,,,Richard Gasquet,R,185.0,FRA,23.5,103813,,,Jarkko Nieminen,L,185.0,FIN,28.4,6-3 4-6 6-4,3,R32,121.0,5.0,4.0,97.0,51.0,33.0,27.0,15.0,5.0,8.0,4.0,0.0,85.0,58.0,38.0,14.0,14.0,7.0,11.0,52.0,850.0,88.0,568.0,atp_matches_2010.csv,2010-01-03,1835.3000494046162,1662.7845980926895,1789.4666435504553,1633.9923207464674
2010-339,Brisbane,Hard,32,A,20100103,22,104792,3.0,,Gael Monfils,R,193.0,FRA,23.3,103722,,,Florent Serra,R,180.0,FRA,28.8,6-7(5) 7-6(5) 6-1,3,R16,139.0,16.0,6.0,101.0,53.0,41.0,23.0,15.0,4.0,7.0,9.0,3.0,114.0,72.0,49.0,17.0,16.0,7.0,13.0,13.0,2610.0,65.0,665.0,atp_matches_2010.csv,2010-01-03,1997.7861260949921,1740.136326137475,1934.3958251148424,1682.6828419868336
2010-339,Brisbane,Hard,32,A,20100103,22,104792,3.0,,Gael Monfils,R,193.0,FRA,23.3,103722,,,Florent Serra,R,180.0,FRA,28.8,6-7(5) 7-6(5) 6-1,3,R16,139.0,16.0,6.0,101.0,53.0,41.0,23.0,15.0,4.0,7.0,9.0,3.0,114.0,72.0,49.0,17.0,16.0,7.0,13.0,13.0,2610.0,65.0,665.0,atp_matches_2010.csv,2010-01-03,2005.375632977477,1734.2178659783492,1944.5301560911175,1676.597749250409
2010-339,Brisbane,Hard,32,A,20100103,21,103484,,,James Blake,R,185.0,USA,30.0,102967,,,Marc Gicquel,R,188.0,FRA,32.7,6-3 3-6 7-6(8),3,R16,120.0,13.0,2.0,95.0,51.0,42.0,23.0,15.0,2.0,4.0,8.0,5.0,120.0,65.0,45.0,30.0,15.0,8.0,10.0,44.0,935.0,58.0,744.0,atp_matches_2010.csv,2010-01-03,1813.8404723341298,1698.2453756344607,1758.2192324555813,1652.0276887056345
