tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,source_file,tourney_date_parsed,r_w_global_before,r_l_global_before,r_w_surface_before,r_l_surface_before
2011-339,Brisbane,Hard,32,A,20110102,17,104417,1.0,,Robin Soderling,R,193.0,SWE,26.3,103582,,,Michael Berrer,L,193.0,GER,30.5,6-3 7-6(7),3,R16,96.0,9.0,1.0,74.0,51.0,40.0,13.0,11.0,2.0,2.0,8.0,1.0,68.0,43.0,32.0,14.0,10.0,2.0,3.0,5.0,5580.0,58.0,835.0,atp_matches_2011.csv,2011-01-02,2135.36508758742,1651.7162468926501,2057.0814357830245,1628.113426311786
2011-339,Brisbane,Hard,32,A,20110102,17,104417,1.0,,Robin Soderling,R,193.0,SWE,26.3,103582,,,Michael Berrer,L,193.0,GER,30.5,6-3 7-6(7),3,R16,96.0,9.0,1.0,74.0,51.0,40.0,13.0,11.0,2.0,2.0,8.0,1.0,68.0,43.0,32.0,14.0,10.0,2.0,3.0,5.0,5580.0,58.0,835.0,atp_matches_2011.csv,2011-01-02,2137.227138668663,1649.8541958114072,2059.5785821622717,1625.6162799325386
2011-339,Brisbane,Hard,32,A,20110102,18,105051,,Q,Matthew Ebden,R,188.0,AUS,23.1,104797,8.0,,Denis Istomin,R,185.0,UZB,24.3,6-4 6-4,3,R16,73.0,5.0,1.0,62.0,45.0,32.0,7.0,10.0,0.0,2.0,1.0,7.0,56.0,30.0,18.0,14.0,10.0,1.0,5.0,196.0,263.0,40.0,1031.0,atp_matches_2011.csv,2011-01-02,1545.8462097828062,1688.722547990292,1539.915135691455,1629.828709616336
2011-339,Brisbane,Hard,32,A,20110102,18,105051,,Q,Matthew Ebden,R,188.0,AUS,23.1,104797,8.0,,Denis Istomin,R,185.0,UZB,24.3,6-4 6-4,3,R16,73.0,5.0,1.0,62.0,45.0,32.0,7.0,10.0,0.0,2.0,1.0,7.0,56.0,30.0,18.0,14.0,10.0,1.0,5.0,196.0,263.0,40.0,1031.0,atp_matches_2011.csv,2011-01-02,1579.7549467114109,1683.2273112638452,1571.4791083870937,1625.9613047635355
2011-339,Brisbane,Hard,32,A,20110102,19,103285,,,Radek Stepanek,R,185.0,CZE,32.1,103888,4.0,,Mardy Fish,R,188.0,USA,29.0,6-3 6-1,3,R16,78.0,3.0,2.0,45.0,32.0,28.0,6.0,8.0,3.0,3.0,9.0,2.0,60.0,40.0,23.0,6.0,8.0,6.0,10.0,62.0,795.0,16.0,1991.0,atp_matches_2011.csv,2011-01-02,1874.489963324005,2086.7483737807706,1812.4814638487974,2025.6456510451612
2011-339,Brisbane,Hard,32,A,20110102,19,103285,,,Radek Stepanek,R,185.0,CZE,32.1,103888,4.0,,Mardy Fish,R,188.0,USA,29.0,6-3 6-1,3,R16,78.0,3.0,2.0,45.0,32.0,28.0,6.0,8.0,3.0,3.0,9.0,2.0,60.0,40.0,23.0,6.0,8.0,6.0,10.0,62.0,795.0,16.0,1991.0,atp_matches_2011.csv,2011-01-02,1904.1018368698972,2062.031884421503,1840.7829642306301,2000.8998704922358
2011-339,Brisbane,Hard,32,A,20110102,20,104252,7.0,,Florian Mayer,R,190.0,GER,27.2,105575,,Q,Ricardas Berankis,R,175.0,LTU,20.5,6-4 4-6 6-4,3,R16,131.0,4.0,1.0,83.0,52.0,33.0,15.0,15.0,3.0,9.0,6.0,6.0,109.0,56.0,38.0,20.0,15.0,15.0,22.0,37.0,1128.0,87.0,587.0,atp_matches_2011.csv,2011-01-02,1791.8073383141725,1661.59785130871,1704.9156563233996,1647.3532729008193
2011-339,Brisbane,Hard,32,A,20110102,20,104252,7.0,,Florian Mayer,R,190.0,GER,27.2,105575,,Q,Ricardas Berankis,R,175.0,LTU,20.5,6-4 4-6 6-4,3,R16,131.0,4.0,1.0,83.0,52.0,33.0,15.0,15.0,3.0,9.0,6.0,6.0,109.0,56.0,38.0,20.0,15.0,15.0,22.0,37.0,1128.0,87.0,587.0,atp_matches_2011.csv,2011-01-02,1790.4367747036667,1651.3284042603598,1707.5617302410406,1633.9801275109646
2011-339,Brisbane,Hard,32,A,20110102,21,104731,,,Kevin Anderson,R,203.0,RSA,24.6,103852,6.0,,Feliciano Lopez,L,188.0,ESP,29.2,6-3 6-1,3,R16,56.0,15.0,1.0,38.0,27.0,24.0,8.0,8.0,0.0,0.0,6.0,0.0,53.0,38.0,22.0,6.0,8.0,5.0,9.0,61.0,813.0,32.0,1300.0,atp_matches_2011.csv,2011-01-02,1739.7671227860274,1758.199624392384,1702.9994532706382,1687.9317626497284
2011-339,Brisbane,Hard,32,A,20110102,21,104731,,,Kevin Anderson,R,203.0,RSA,24.6,103852,6.0,,Feliciano Lopez,L,188.0,ESP,29.2,6-3 6-1,3,R16,56.0,15.0,1.0,38.0,27.0,24.0,8.0,8.0,0.0,0.0,6.0,0.0,53.0,38.0,22.0,6.0,8.0,5.0,9.0,61.0,813.0,32.0,1300.0,atp_matches_2011.csv,2011-01-02,1764.0304254842197,1741.3515718235506,1722.7243035534627,1672.625220746248
2011-339,Brisbane,Hard,32,A,20110102,22,105053,,,Santiago Giraldo,R,188.0,COL,23.1,103794,,,Benjamin Becker,R,178.0,GER,29.5,6-3 6-4,3,R16,78.0,2.0,0.0,73.0,52.0,36.0,13.0,10.0,6.0,6.0,7.0,0.0,43.0,26.0,21.0,10.0,9.0,0.0,2.0,64.0,785.0,53.0,877.0,atp_matches_2011.csv,2011-01-02,1709.436225623172,1776.8451170330147,1602.5532572449272,1717.8545549601808
2011-339,Brisbane,Hard,32,A,20110102,22,105053,,,Santiago Giraldo,R,188.0,COL,23.1,103794,,,Benjamin Becker,R,178.0,GER,29.5,6-3 6-4,3,R16,78.0,2.0,0.0,73.0,52.0,36.0,13.0,10.0,6.0,6.0,7.0,0.0,43.0,26.0,21.0,10.0,9.0,0.0,2.0,64.0,785.0,53.0,877.0,atp_matches_2011.csv,2011-01-02,1713.7939804281566,1757.7791969453124,1611.9295690252977,1696.7314429749808
2011-339,Brisbane,Hard,32,A,20110102,23,104571,5.0,,Marcos Baghdatis,R,183.0,CYP,25.5,103997,,,Lukasz Kubot,R,191.0,POL,28.6,6-2 6-2,3,R16,65.0,5.0,1.0,47.0,26.0,19.0,12.0,8.0,3.0,4.0,0.0,4.0,49.0,26.0,13.0,8.0,8.0,4.0,9.0,20.0,1785.0,70.0,695.0,atp_matches_2011.csv,2011-01-02,1832.6822066024797,1528.8375707450725,1793.3106682063506,1564.1830224284645
